environment,timesteps,mean_episode_length,std_episode_length
Standard,0.0,8.3,3.874274125562103
Standard,2000.0,11.947619047619048,5.592877414871327
Standard,4000.0,16.141320703720083,5.138560715861549
Standard,6000.0,17.92398993693111,10.066231445676038
Standard,8000.0,41.666921692832375,17.242407433404193
Standard,10000.0,47.65307082646443,17.662367548914023
Standard,12000.0,54.999939143317896,21.183408408363945
Standard,14000.0,70.07058775075436,12.436360914683085
Standard,16000.0,93.78413297844534,24.916736897099227
Standard,18000.0,100.24041375594106,33.76614647836549
Standard,20000.0,134.73618510165701,60.451965462737085
Standard,22000.0,193.52114227482397,112.25529049141497
Standard,24000.0,356.9621244281178,228.32647175722053
Standard,26000.0,621.116468546941,345.7769640358947
Standard,28000.0,725.9783848896556,321.2049347714973
Standard,30000.0,895.1573311680095,222.35933545119843
Standard,32000.0,964.2853510385758,71.75978882920657
Standard,34000.0,846.0608064973194,267.6841410578075
Standard,36000.0,1000.0,0.0
Standard,38000.0,979.7813302980934,50.27614408857543
Standard,40000.0,919.7468715025909,159.82725976433613
Standard,42000.0,925.4055311511198,136.90868383550742
Standard,44000.0,983.1493975903613,50.55180722891568
Standard,46000.0,993.8979999999999,18.305999999999997
Standard,48000.0,957.2116,128.36520000000002
Standard,50000.0,987.0364,38.890799999999984
Standard,52000.0,1000.0,0.0
Standard,54000.0,1000.0,0.0
Standard,56000.0,1000.0,0.0
Standard,58000.0,1000.0,0.0
Standard,60000.0,1000.0,0.0
Standard,62000.0,1000.0,0.0
Standard,64000.0,1000.0,0.0
Standard,66000.0,1000.0,0.0
Standard,68000.0,932.7515999999999,196.96715706289714
Standard,70000.0,1000.0,0.0
Standard,72000.0,925.7677419354839,222.69677419354838
Standard,74000.0,951.234,146.29799999999997
Standard,76000.0,1000.0,0.0
Standard,78000.0,1000.0,0.0
Standard,80000.0,1000.0,0.0
Standard,82000.0,1000.0,0.0
Standard,84000.0,1000.0,0.0
Standard,86000.0,1000.0,0.0
Standard,88000.0,1000.0,0.0
Standard,90000.0,1000.0,0.0
Standard,92000.0,1000.0,0.0
Standard,94000.0,1000.0,0.0
Standard,96000.0,1000.0,0.0
Standard,98000.0,1000.0,0.0
Standard,100000.0,1000.0,0.0
Custom,0.0,8.3,3.874274125562103
Custom,2000.0,11.947619047619048,5.592877414871327
Custom,4000.0,20.052138018843902,11.756723609229624
Custom,6000.0,15.094230769230768,8.619567227327835
Custom,8000.0,44.025739825844745,15.973656285566593
Custom,10000.0,43.80918360529182,15.400005165250795
Custom,12000.0,56.57453006670939,22.89111759606121
Custom,14000.0,74.02230628129274,16.344698940615068
Custom,16000.0,108.90499797384348,47.691003394466236
Custom,18000.0,128.0095005261266,56.86718430712773
Custom,20000.0,151.83597077336768,63.34575342752527
Custom,22000.0,412.0406715007176,321.44510468101765
Custom,24000.0,747.8360524899715,348.41726780338695
Custom,26000.0,838.5514952622518,259.3540507672309
Custom,28000.0,902.0789141653355,172.57616488627016
Custom,30000.0,1000.0,0.0
Custom,32000.0,1000.0,0.0
Custom,34000.0,1000.0,0.0
Custom,36000.0,1000.0,0.0
Custom,38000.0,1000.0,0.0
Custom,40000.0,1000.0,0.0
Custom,42000.0,998.1213920163766,5.635823950870019
Custom,44000.0,966.1802,101.45939999999999
Custom,46000.0,991.6083999999998,25.17479999999998
Custom,48000.0,988.1881999999999,35.43539999999998
Custom,50000.0,1000.0,0.0
Custom,52000.0,1000.0,0.0
Custom,54000.0,1000.0,0.0
Custom,56000.0,1000.0,0.0
Custom,58000.0,1000.0,0.0
Custom,60000.0,1000.0,0.0
Custom,62000.0,1000.0,0.0
Custom,64000.0,1000.0,0.0
Custom,66000.0,1000.0,0.0
Custom,68000.0,1000.0,0.0
Custom,70000.0,1000.0,0.0
Custom,72000.0,983.1558052434457,50.53258426966293
Custom,74000.0,971.6184999999999,85.14450000000001
Custom,76000.0,973.5029850746268,79.49104477611937
Custom,78000.0,949.2544,152.2368
Custom,80000.0,1000.0,0.0
Custom,82000.0,1000.0,0.0
Custom,84000.0,1000.0,0.0
Custom,86000.0,1000.0,0.0
Custom,88000.0,963.4762569832403,109.57122905027931
Custom,90000.0,935.0261324041812,194.92160278745646
Custom,92000.0,1000.0,0.0
Custom,94000.0,1000.0,0.0
Custom,96000.0,1000.0,0.0
Custom,98000.0,1000.0,0.0
Custom,100000.0,1000.0,0.0
