Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,337.54544,337.54544,0.12234494477485132,79709.77,0.0
PPO-Lagrangian,139.07143,139.07143,0.005334914048606995,1115.6007,0.53289956
