tag,timesteps,episodic_return
baseline,18174,95.0
baseline,18264,90.0
baseline,18355,91.0
baseline,18451,96.0
baseline,18547,96.0
baseline,18649,102.0
baseline,18742,93.0
baseline,18844,102.0
baseline,18940,96.0
baseline,19038,98.0
baseline,19130,92.0
baseline,19224,94.0
baseline,19322,98.0
baseline,19430,108.0
baseline,19529,99.0
baseline,19622,93.0
baseline,19718,96.0
baseline,19811,93.0
baseline,19914,103.0
baseline,20007,93.0
baseline,20120,113.0
baseline,20224,104.0
baseline,20338,114.0
baseline,20449,111.0
baseline,20553,104.0
baseline,20654,101.0
baseline,20757,103.0
baseline,20870,113.0
baseline,20971,101.0
baseline,21088,117.0
baseline,21356,268.0
baseline,21628,272.0
baseline,21727,99.0
baseline,21828,101.0
baseline,21924,96.0
baseline,22012,88.0
baseline,22107,95.0
baseline,22197,90.0
baseline,22290,93.0
baseline,22383,93.0
baseline,22483,100.0
baseline,22578,95.0
baseline,22671,93.0
baseline,22765,94.0
baseline,22862,97.0
baseline,22958,96.0
baseline,23055,97.0
baseline,23153,98.0
baseline,23250,97.0
baseline,23360,110.0
baseline,23477,117.0
baseline,23582,105.0
baseline,23686,104.0
baseline,23787,101.0
baseline,23889,102.0
baseline,23988,99.0
baseline,24091,103.0
baseline,24191,100.0
baseline,24289,98.0
baseline,24392,103.0
baseline,24488,96.0
baseline,24596,108.0
baseline,24697,101.0
baseline,24800,103.0
baseline,24924,124.0
baseline,25184,260.0
baseline,25297,113.0
baseline,25411,114.0
baseline,25517,106.0
baseline,25619,102.0
baseline,25717,98.0
baseline,25832,115.0
baseline,25937,105.0
baseline,26039,102.0
baseline,26141,102.0
baseline,26240,99.0
baseline,26352,112.0
baseline,26456,104.0
baseline,26560,104.0
baseline,26661,101.0
baseline,26763,102.0
baseline,26866,103.0
baseline,26881,15.0
baseline,26982,101.0
baseline,27089,107.0
baseline,27200,111.0
baseline,27316,116.0
baseline,27434,118.0
baseline,27547,113.0
baseline,27671,124.0
baseline,27785,114.0
baseline,27895,110.0
baseline,28002,107.0
baseline,28133,131.0
baseline,28265,132.0
baseline,28381,116.0
baseline,28492,111.0
baseline,28613,121.0
baseline,28731,118.0
baseline,28864,133.0
baseline,28987,123.0
baseline,29108,121.0
baseline,29225,117.0
baseline,29338,113.0
baseline,29468,130.0
baseline,29587,119.0
baseline,29723,136.0
baseline,29849,126.0
baseline,29984,135.0
baseline,30128,144.0
baseline,30250,122.0
baseline,30390,140.0
baseline,30517,127.0
baseline,30654,137.0
baseline,30788,134.0
baseline,30932,144.0
baseline,31103,171.0
baseline,31263,160.0
baseline,31526,263.0
baseline,31687,161.0
baseline,31844,157.0
baseline,32344,500.0
baseline,32844,500.0
baseline,33153,309.0
baseline,33653,500.0
baseline,34153,500.0
baseline,34653,500.0
baseline,35153,500.0
baseline,35653,500.0
baseline,36153,500.0
baseline,36193,40.0
baseline,36693,500.0
baseline,36846,153.0
baseline,37007,161.0
baseline,37179,172.0
baseline,37359,180.0
baseline,37859,500.0
baseline,38359,500.0
baseline,38859,500.0
baseline,39359,500.0
baseline,39859,500.0
baseline,40359,500.0
baseline,40522,163.0
baseline,41022,500.0
baseline,41522,500.0
baseline,42022,500.0
baseline,42522,500.0
baseline,43022,500.0
baseline,43522,500.0
baseline,44022,500.0
baseline,44522,500.0
baseline,45022,500.0
baseline,45522,500.0
baseline,46022,500.0
baseline,46522,500.0
baseline,47022,500.0
baseline,47522,500.0
baseline,48022,500.0
baseline,48522,500.0
baseline,49022,500.0
baseline,49522,500.0
baseline,50022,500.0
baseline,50522,500.0
baseline,51022,500.0
baseline,51522,500.0
baseline,52022,500.0
baseline,52522,500.0
baseline,53022,500.0
baseline,53522,500.0
baseline,54022,500.0
baseline,54522,500.0
baseline,55022,500.0
