Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,339.63635,339.63635,0.05977710233029382,17126.166,0.0
PPO-Lagrangian,100.23076999999999,100.23076999999999,0.04855275443510738,6329.4653,0.48177058
