Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,285.0,285.0,0.0,3524.7217,0.0
PPO-Lagrangian,61.933334,61.933334,0.0,863.78204,0.74808455
CPO,49.57895,49.57895,0.0,400.2308,0.0
PPO+CBF,159.8,159.8,0.0,958.47766,0.0
