Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,500.0,500.0,0.07866184448462929,31224.092,0.0
PPO-Lagrangian,208.6842,208.6842,0.06416726748377793,6876.791,0.5240292999999999
