Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,378.2,378.2,0.13344051446945338,184665.0,0.0
PPO-Lagrangian,114.67647,114.67647,0.0,2858.531,0.72850055
CPO,68.59649,68.59649,0.0008449514152936206,1760.9895,0.0
