Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,270.7143,270.7143,0.1635012386457473,1036.6907,0.0
PPO-Lagrangian,433.33334,433.33334,0.07823960880195599,404.0652,0.43841118
CPO,190.4762,190.4762,0.06186726659167604,444.597,0.0
