total_energy,kinetic_energy,potential_energy,shaping_reward
1.513097951731494,1.511114143013994,0.00198380871749986,-1.4975405623654545
0.5566225049883397,0.5446031883131055,0.01201931667523415,0.9620416717930377
1.4562623528860412,1.4260549568728633,0.030207396013177883,-0.8850772243688411
0.3719597050927918,0.31729846010937285,0.05466124498341896,1.0880222448441774
0.688562314270895,0.6074331749689429,0.08112913930195205,-0.30971698603539427
0.15662876849462326,0.04714358356356022,0.10948518493106303,0.533499833461218
0.4608673161847804,0.3170320578388499,0.14383525834593047,-0.2996298745283093
0.3398644018732638,0.14321957742831562,0.19664482444494816,0.12440155833024924
0.29977059340458406,0.04417204252605849,0.25559855087852557,0.04309151440272557
0.8993004634190671,0.6012797406117886,0.29802072280727854,-0.5905368653802923
1.637735374877567,1.3199962507952536,0.31773912408231325,-0.7220575577097241
2.1265818975501194,1.786039213173887,0.34054268437623236,-0.4675807036970512
0.6105002403004258,0.1772860504620532,0.43321418983837257,1.5221866596526978
1.7749765942204676,1.0978484598323996,0.6771281343880681,-1.146726587977837
2.2061695272607524,1.1345987210100046,1.0715708062507476,-0.40913123776767746
4.286578946155867,2.6419819584015487,1.6445969877543187,-2.0375436294335563
3.391214863023986,1.003891297983623,2.387323565040363,0.9292762317621213
4.714143135443567,1.4161541282951389,3.2979890071484275,-1.2757868410651452
6.408219492110794,2.0470859776844543,4.3611335144263395,-1.6299941617461196
12.944823925758408,7.42946631164307,5.515357614115338,-6.40715619439003
21.103354409438793,14.279568134444592,6.823786274994202,-7.947496939585998
19.37928570057002,11.474522105675907,7.904763594894111,1.9178615658744746
21.323608992004385,13.426718572262695,7.89689041974169,-1.7310872015143204
18.94691054940033,11.247125538397125,7.699785011003202,2.5661675480980577
21.57970952433799,14.025158002540067,7.554551521797923,-2.417001879694279
20.696599651383973,13.222383418437996,7.474216232945978,1.0900758694678565
24.67743378717254,17.242613050983486,7.434820736189055,-3.7340597979168386
23.70524661562105,16.288489468698597,7.416757146922455,1.2092396377077002
29.39748362625371,21.988649269628056,7.408834356625655,-5.398262174370121
33.914942799561054,26.5094745436052,7.405468255955851,-4.178309745311736
33.01385321061846,25.609784772654308,7.404068437964151,1.2312281210487797
29.651490781157012,22.24799495557212,7.403495825584891,3.6588773372730152
23.826601671578356,16.423337401119475,7.403264270458879,6.06315512629444
23.394939856738784,15.991766264830153,7.403173591908632,0.6656112134069616
31.937178647545267,24.53403600475148,7.403142642793783,-8.222867004331029
36.978935363746245,29.575802945461458,7.403132418284789,-4.671967362563514
38.05455147940623,30.65142428533894,7.403127194067285,-0.6950706008659182
36.430332352529184,29.0272089846216,7.403123367907583,1.9885224504023356
8.79538507899556,1.392274960540593,7.4031101184549675,27.72290112432358
7.919788020127019,0.5166918218729732,7.403096198254046,0.9547949390698109
10.081723812670125,2.678624510177339,7.403099302492786,-2.061118554416405
8.984482622703437,1.5813748740850195,7.403107748618418,1.1870860161937227
