Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,493.25,493.25,0.1273046532045654,81097.94,0.0
PPO-Lagrangian,99.1,99.1,0.004833512352309345,2463.4111,0.6855246
CPO,108.41666399999998,108.41666399999998,0.016029593094944512,4437.0967,0.0
