Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
15,132.6,64.0352,329.0,49.0,429.70166,35.35861,508.85458,361.98248,132.6,388632.7,6.072386,41.492382,2.827281,41.876236,-17.383043,34.384407,3.5162838,35.17813,-19.41695,9.179115e-09,-0.0082688965,1.6098022e-06,0.13381255,654.23663,-13.445618,3878.23,-51.124756,0,0,79.0,0.60364926,0.005354631,64000,38.0876190662384,0
16,225.125,131.32492,500.0,67.0,467.62674,42.6273,549.0427,381.99417,225.125,396638.22,5.832915,42.509647,1.0781873,42.86729,28.186882,34.08796,5.955583,36.232475,-8.978222,-4.2915346e-08,-0.0033197633,-1.5258789e-07,0.069764175,1308.8682,-129.13904,2594.5322,-17.033447,0,0,79.0,0.5972646,0.0041745966,68000,40.50358033180237,0
17,233.88235,123.77013,500.0,39.0,468.41174,52.789536,546.14087,344.6079,233.88235,404907.94,5.623721,45.220444,1.8156503,45.501286,11.2373295,34.216076,10.1862335,36.886375,-33.380516,-7.867813e-09,-0.0040630326,1.3580323e-06,0.029658616,1124.9065,-102.98651,2624.9973,-21.314209,0,0,79.0,0.5899624,0.00315519,72000,42.9190239906311,0
18,415.66666,101.45278,500.0,226.0,524.6939,23.998041,549.53046,474.41443,415.66666,410122.62,5.3963504,46.57226,6.150556,47.82255,-23.836397,34.317894,6.855978,37.452953,-17.513458,-7.396937e-08,-0.006877347,-3.8146972e-08,0.019388523,1449.174,-174.4386,1779.2278,-42.555054,0,0,79.0,0.57833755,0.0066790245,76000,45.34604620933533,0
19,264.53333,131.4706,500.0,105.0,484.38507,37.66132,544.60535,420.04312,264.53333,417717.4,5.2214675,50.720257,0.18404366,50.791912,48.544914,36.580147,3.2952673,37.808056,2.353582,-3.9339065e-09,-0.003937088,3.051758e-08,0.07299559,1008.0331,-54.728455,2511.7854,-7.748291,0,0,79.0,0.5854411,0.008486057,80000,47.760969161987305,0
20,337.18182,158.38664,500.0,100.0,498.3322,47.396656,548.95734,409.35376,337.18182,423697.56,5.0440187,51.83994,4.0640516,52.47685,-16.387535,32.486515,11.450496,38.270267,-31.633059,3.4987927e-08,-0.0061200587,8.392334e-08,0.05035623,1136.0251,-97.05066,1946.9843,-10.7578125,0,0,79.0,0.58017474,0.00396949,84000,49.34328198432922,0
21,360.63635,109.418526,500.0,143.0,514.468,30.01285,548.3454,442.20212,360.63635,429687.9,4.8828173,54.49643,0.058394957,54.525238,53.79515,38.24617,0.76749545,38.696754,32.07403,-6.103516e-08,-0.003481416,1.7547607e-07,0.01937693,1044.9436,-65.972595,2067.1257,-2.769287,0,0,79.0,0.58602893,0.005057745,88000,51.83435416221619,0
22,406.0,133.4824,500.0,119.0,522.4719,37.652687,549.408,431.45493,406.0,434902.62,4.7272024,56.249813,0.15050246,56.304386,54.295544,37.577095,3.5456638,38.86918,-1.4842348,-3.7550926e-08,-0.006024109,1.9073487e-07,0.05912373,1092.5754,-78.779175,1816.1553,-0.5024414,0,0,79.0,0.55724096,0.0029800462,92000,54.24370121955872,0
23,357.4,173.62039,500.0,64.0,497.9272,52.22465,543.3098,381.09482,357.4,440411.12,4.587616,57.422047,5.000908,58.19824,-28.777977,28.876654,13.91959,38.95232,-26.09074,2.6226044e-08,-0.005977532,3.3569336e-07,0.052618165,1005.94257,-65.473816,1734.6512,-19.237305,0,0,79.0,0.5451066,0.002113074,96000,56.64504814147949,0
24,500.0,0.0,500.0,500.0,543.1786,2.0598176,546.91113,539.09534,500.0,444756.6,4.447566,59.70033,0.49821797,59.91589,56.330032,33.336826,10.08742,39.37084,-18.122677,-3.7670137e-08,-0.0025523712,-3.5095215e-07,-0.07516998,1014.8665,-71.12189,1465.7107,-33.009644,0,0,79.0,0.5556256,0.0057609663,100000,59.17893052101135,0
