Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
15,316.0,109.79223,500.0,167.0,466.59827,54.390526,546.8624,384.07446,316.0,334479.25,5.2262383,44.18784,2.594123,44.55533,7.315113,30.41157,7.561898,32.411087,-30.237894,6.556511e-09,-0.0047238986,1.9073487e-07,0.099482775,1369.6193,-102.160645,2458.8474,-3.0749512,0,0,79.0,0.59406936,0.0045278226,64000,36.04667615890503,8
16,282.0,107.88817,500.0,136.0,458.92017,34.863434,545.3499,422.75568,282.0,341272.78,5.0187173,44.349094,7.476734,46.504875,-14.465167,24.660791,16.857576,32.64393,-31.595451,-3.1352045e-08,-0.0039161253,4.196167e-08,0.14553028,1087.1505,-85.137146,2407.772,-13.164551,0,0,79.0,0.5982186,0.0041640545,68000,38.34160494804382,10
17,378.2,116.34758,500.0,179.0,499.4122,41.383434,545.94727,432.15997,378.2,346747.3,4.8159347,48.172085,0.16067562,48.230736,46.81531,32.05185,3.2403512,33.17237,8.315799,3.0994416e-09,-0.0018336301,1.8310547e-07,0.046546303,1373.3893,-99.35376,2108.3484,-3.4733887,0,0,79.0,0.5946736,0.005043493,72000,40.65368103981018,4
18,391.9,119.19937,500.0,123.0,491.08344,53.248344,535.40643,343.29498,391.9,352061.06,4.6323824,49.513565,2.1459482,50.09858,29.733152,25.592981,14.633576,33.479404,-29.250603,-1.2993812e-08,-0.0022289464,4.5776366e-07,0.019616004,1302.39,-103.019775,1922.8894,-11.093628,0,0,79.0,0.5889211,0.0066822274,76000,42.95578956604004,4
19,233.58824,126.80418,500.0,90.0,429.7155,52.232086,523.1435,337.85135,233.58824,359687.03,4.496088,46.03969,13.679025,51.935467,-25.926239,17.940754,21.174656,33.91047,-32.525448,-7.1167946e-08,-0.011468178,2.4414064e-07,0.102548294,770.8626,-63.513367,2344.8052,-36.942627,0,0,79.0,0.58581334,0.008952183,80000,45.26093363761902,11
20,396.1111,107.10477,500.0,187.0,505.9854,28.151728,542.3269,464.7335,396.1111,364774.78,4.342557,51.95767,6.2964425,53.21554,-10.117416,29.175888,12.43894,34.829758,-31.85883,2.9563903e-08,-0.004786037,-3.0612946e-07,0.057530407,1166.2885,-85.74048,1800.4418,-12.41333,0,0,79.0,0.58059716,0.0022621308,84000,47.66851210594177,3
21,448.625,94.47875,500.0,231.0,524.91406,22.802023,546.16956,475.41684,448.625,369504.72,4.1989174,54.862537,0.15508775,54.908234,52.7229,32.967045,5.0251856,35.352535,-8.687773,1.704693e-08,-0.0045396714,-3.5858153e-07,-0.0035652695,1194.468,-80.649536,1708.9019,-2.8288574,0,0,79.0,0.5734854,0.0025259408,88000,49.98217749595642,0
22,493.5,17.197384,500.0,448.0,532.1804,12.348176,547.88654,503.34937,493.5,374130.66,4.0666375,56.550365,0.1341851,56.5941,55.313274,33.26105,5.9583325,35.58254,-6.958001,-4.673004e-08,-0.0053733676,4.7302245e-07,0.020236205,1141.206,-72.30127,1720.782,-1.7906494,0,0,79.0,0.56744707,0.00365359,92000,52.291836738586426,0
23,330.63635,115.89907,500.0,152.0,480.83142,43.98148,543.54614,406.0863,330.63635,379942.72,3.9577367,57.91561,2.559891,58.187237,8.507319,32.97942,8.929671,35.62131,-28.382248,-1.4424324e-08,-0.0029871552,3.6621094e-07,0.05852826,881.5564,-38.533264,2190.2605,-4.625,0,0,79.0,0.56789404,0.0024373785,96000,54.59589648246765,6
24,424.8889,91.742935,500.0,255.0,507.59152,30.352211,545.50433,461.0051,424.8889,384946.56,3.8494656,59.31279,0.013985161,59.32138,59.18044,35.4776,0.673686,35.831863,29.695337,3.409386e-08,-0.003160326,3.051758e-08,-0.012746933,942.5983,-43.638306,2034.3483,-1.3048096,0,0,79.0,0.5755012,0.0048125857,100000,57.04284048080444,4
