algorithm,timesteps,mean_return,std_return
PPO,0.0,34.0,0.0
PPO,5000.0,50.0,0.0
PPO,10000.0,50.0,0.0
PPO,15000.0,50.0,0.0
PPO,20000.0,5.0,0.0
PPO,25000.0,26.857142857142854,0.0
PPO,30000.0,12.565217391304348,0.0
PPO,35000.0,11.0,0.0
PPO,40000.0,4.0,0.0
PPO+CBF,0.0,50.0,0.0
PPO+CBF,5000.0,50.0,0.0
PPO+CBF,10000.0,50.0,0.0
PPO+CBF,15000.0,50.0,0.0
PPO+CBF,20000.0,50.0,0.0
PPO+CBF,25000.0,50.0,0.0
PPO+CBF,30000.0,50.0,0.0
PPO+CBF,35000.0,50.0,0.0
PPO+CBF,40000.0,50.0,0.0
PPO+CBF+RewardShaping,0.0,50.0,0.0
PPO+CBF+RewardShaping,5000.0,50.0,0.0
PPO+CBF+RewardShaping,10000.0,50.0,0.0
PPO+CBF+RewardShaping,15000.0,50.0,0.0
PPO+CBF+RewardShaping,20000.0,50.0,0.0
PPO+CBF+RewardShaping,25000.0,50.0,0.0
PPO+CBF+RewardShaping,30000.0,50.0,0.0
PPO+CBF+RewardShaping,35000.0,50.0,0.0
PPO+CBF+RewardShaping,40000.0,50.0,0.0
