tag,timesteps,episodic_return
baseline,15884,94.0
baseline,15985,101.0
baseline,16087,102.0
baseline,16218,131.0
baseline,16332,114.0
baseline,16415,83.0
baseline,16437,22.0
baseline,16458,21.0
baseline,16476,18.0
baseline,16497,21.0
baseline,16515,18.0
baseline,16535,20.0
baseline,16554,19.0
baseline,16573,19.0
baseline,16596,23.0
baseline,16616,20.0
baseline,16638,22.0
baseline,16747,109.0
baseline,16856,109.0
baseline,16959,103.0
baseline,17008,49.0
baseline,17097,89.0
baseline,17188,91.0
baseline,17305,117.0
baseline,17417,112.0
baseline,17549,132.0
baseline,17674,125.0
baseline,17773,99.0
baseline,17874,101.0
baseline,17974,100.0
baseline,18071,97.0
baseline,18167,96.0
baseline,18280,113.0
baseline,18383,103.0
baseline,18486,103.0
baseline,18581,95.0
baseline,18673,92.0
baseline,18815,142.0
baseline,18836,21.0
baseline,18848,12.0
baseline,18950,102.0
baseline,19049,99.0
baseline,19145,96.0
baseline,19249,104.0
baseline,19363,114.0
baseline,19473,110.0
baseline,19567,94.0
baseline,19661,94.0
baseline,19725,64.0
baseline,19797,72.0
baseline,19898,101.0
baseline,20003,105.0
baseline,20107,104.0
baseline,20216,109.0
baseline,20261,45.0
baseline,20301,40.0
baseline,20330,29.0
baseline,20362,32.0
baseline,20401,39.0
baseline,20443,42.0
baseline,20543,100.0
baseline,20659,116.0
baseline,20770,111.0
baseline,20880,110.0
baseline,20987,107.0
baseline,21019,32.0
baseline,21036,17.0
baseline,21052,16.0
baseline,21070,18.0
baseline,21087,17.0
baseline,21104,17.0
baseline,21124,20.0
baseline,21140,16.0
baseline,21156,16.0
baseline,21176,20.0
baseline,21192,16.0
baseline,21207,15.0
baseline,21221,14.0
baseline,21238,17.0
baseline,21379,141.0
baseline,21496,117.0
baseline,21624,128.0
baseline,21723,99.0
baseline,21836,113.0
baseline,22120,284.0
baseline,22219,99.0
baseline,22318,99.0
baseline,22419,101.0
baseline,22516,97.0
baseline,22631,115.0
baseline,22751,120.0
baseline,22857,106.0
baseline,22869,12.0
baseline,22965,96.0
baseline,23060,95.0
baseline,23175,115.0
baseline,23277,102.0
baseline,23381,104.0
baseline,23476,95.0
baseline,23574,98.0
baseline,23684,110.0
baseline,23796,112.0
baseline,23916,120.0
baseline,24035,119.0
baseline,24148,113.0
baseline,24281,133.0
