tag,timesteps,episodic_return
baseline,15062,37.0
baseline,15184,122.0
baseline,15303,119.0
baseline,15391,88.0
baseline,15480,89.0
baseline,15576,96.0
baseline,15681,105.0
baseline,15790,109.0
baseline,15893,103.0
baseline,16029,136.0
baseline,16165,136.0
baseline,16291,126.0
baseline,16415,124.0
baseline,16547,132.0
baseline,16652,105.0
baseline,16720,68.0
baseline,16804,84.0
baseline,16874,70.0
baseline,16964,90.0
baseline,17067,103.0
baseline,17142,75.0
baseline,17293,151.0
baseline,17448,155.0
baseline,17582,134.0
baseline,17722,140.0
baseline,17859,137.0
baseline,18008,149.0
baseline,18155,147.0
baseline,18339,184.0
baseline,18538,199.0
baseline,18659,121.0
baseline,18778,119.0
baseline,18972,194.0
baseline,19129,157.0
baseline,19281,152.0
baseline,19456,175.0
baseline,19554,98.0
baseline,19668,114.0
baseline,19769,101.0
baseline,19910,141.0
baseline,20112,202.0
baseline,20277,165.0
baseline,20431,154.0
baseline,20587,156.0
baseline,20746,159.0
baseline,20862,116.0
baseline,20984,122.0
baseline,21142,158.0
baseline,21295,153.0
baseline,21414,119.0
baseline,21543,129.0
baseline,21555,12.0
baseline,21568,13.0
baseline,21665,97.0
baseline,21766,101.0
baseline,21919,153.0
baseline,22077,158.0
baseline,22121,44.0
baseline,22164,43.0
baseline,22197,33.0
baseline,22244,47.0
baseline,22349,105.0
baseline,22547,198.0
baseline,22733,186.0
baseline,22928,195.0
baseline,23137,209.0
baseline,23338,201.0
baseline,23455,117.0
baseline,23580,125.0
baseline,23668,88.0
baseline,23758,90.0
baseline,23846,88.0
baseline,23962,116.0
baseline,24098,136.0
baseline,24286,188.0
baseline,24445,159.0
baseline,24598,153.0
baseline,24715,117.0
baseline,24827,112.0
baseline,24867,40.0
baseline,24892,25.0
baseline,24913,21.0
baseline,24939,26.0
baseline,24960,21.0
baseline,24985,25.0
baseline,25006,21.0
baseline,25097,91.0
baseline,25226,129.0
baseline,25579,353.0
baseline,25622,43.0
baseline,25722,100.0
baseline,25996,274.0
baseline,26136,140.0
baseline,26344,208.0
baseline,26584,240.0
baseline,26658,74.0
baseline,26830,172.0
baseline,27005,175.0
baseline,27153,148.0
baseline,27321,168.0
baseline,27539,218.0
baseline,27804,265.0
baseline,27987,183.0
baseline,28010,23.0
baseline,28029,19.0
baseline,28060,31.0
baseline,28071,11.0
baseline,28095,24.0
baseline,28111,16.0
baseline,28135,24.0
baseline,28161,26.0
baseline,28207,46.0
baseline,28219,12.0
baseline,28311,92.0
baseline,28401,90.0
baseline,28411,10.0
baseline,28508,97.0
baseline,28607,99.0
baseline,28705,98.0
baseline,28800,95.0
baseline,28835,35.0
baseline,28931,96.0
baseline,29028,97.0
baseline,29126,98.0
baseline,29229,103.0
baseline,29538,309.0
baseline,29683,145.0
baseline,29833,150.0
baseline,29979,146.0
baseline,30181,202.0
baseline,30523,342.0
baseline,30718,195.0
baseline,30890,172.0
baseline,31077,187.0
baseline,31250,173.0
baseline,31364,114.0
baseline,31464,100.0
baseline,31560,96.0
baseline,31653,93.0
baseline,31746,93.0
baseline,32007,261.0
baseline,32036,29.0
baseline,32131,95.0
baseline,32220,89.0
baseline,32341,121.0
baseline,32831,490.0
baseline,33064,233.0
baseline,33564,500.0
baseline,34064,500.0
baseline,34416,352.0
baseline,34545,129.0
baseline,34728,183.0
baseline,34927,199.0
baseline,35093,166.0
baseline,35257,164.0
baseline,35270,13.0
baseline,35435,165.0
baseline,35631,196.0
baseline,35776,145.0
baseline,35982,206.0
baseline,36247,265.0
baseline,36407,160.0
baseline,36573,166.0
baseline,37073,500.0
baseline,37561,488.0
baseline,37746,185.0
baseline,38077,331.0
baseline,38577,500.0
baseline,39077,500.0
baseline,39277,200.0
baseline,39293,16.0
