bin_start,bin_end,count
3.140465639622686e-05,0.6943309660321549,6811
0.6943309660321549,1.3886305274079138,1726
1.3886305274079138,2.0829300887836726,1060
2.0829300887836726,2.7772296501594314,748
2.7772296501594314,3.47152921153519,548
3.47152921153519,4.165828772910949,393
4.165828772910949,4.860128334286707,280
4.860128334286707,5.554427895662466,218
5.554427895662466,6.248727457038226,202
6.248727457038226,6.943027018413984,171
6.943027018413984,7.637326579789742,217334
7.637326579789742,8.3316261411655,8354
8.3316261411655,9.02592570254126,2753
9.02592570254126,9.720225263917017,1548
9.720225263917017,10.414524825292776,1108
10.414524825292776,11.108824386668536,819
11.108824386668536,11.803123948044295,604
11.803123948044295,12.497423509420054,570
12.497423509420054,13.191723070795812,458
13.191723070795812,13.88602263217157,463
13.88602263217157,14.58032219354733,446
14.58032219354733,15.274621754923087,384
15.274621754923087,15.968921316298847,418
15.968921316298847,16.663220877674608,414
16.663220877674608,17.357520439050365,368
17.357520439050365,18.051820000426126,361
18.051820000426126,18.746119561801883,328
18.746119561801883,19.44041912317764,326
19.44041912317764,20.134718684553402,310
20.134718684553402,20.82901824592916,244
20.82901824592916,21.52331780730492,199
21.52331780730492,22.217617368680678,211
22.217617368680678,22.911916930056435,187
22.911916930056435,23.606216491432196,152
23.606216491432196,24.300516052807954,122
24.300516052807954,24.994815614183715,142
24.994815614183715,25.689115175559472,139
25.689115175559472,26.38341473693523,113
26.38341473693523,27.07771429831099,101
27.07771429831099,27.772013859686748,72
27.772013859686748,28.466313421062505,77
28.466313421062505,29.160612982438266,52
29.160612982438266,29.854912543814024,47
29.854912543814024,30.54921210518978,42
30.54921210518978,31.243511666565542,37
31.243511666565542,31.9378112279413,31
31.9378112279413,32.63211078931706,35
32.63211078931706,33.32641035069282,30
33.32641035069282,34.020709912068575,35
34.020709912068575,34.71500947344433,27
34.71500947344433,35.4093090348201,14
35.4093090348201,36.103608596195855,20
36.103608596195855,36.79790815757161,25
36.79790815757161,37.49220771894737,17
37.49220771894737,38.18650728032313,13
38.18650728032313,38.880806841698885,6
38.880806841698885,39.57510640307465,7
39.57510640307465,40.26940596445041,10
40.26940596445041,40.963705525826164,17
40.963705525826164,41.65800508720192,7
41.65800508720192,42.35230464857768,7
42.35230464857768,43.04660420995344,7
43.04660420995344,43.7409037713292,10
43.7409037713292,44.43520333270496,6
44.43520333270496,45.129502894080716,9
45.129502894080716,45.82380245545647,8
45.82380245545647,46.51810201683224,5
46.51810201683224,47.212401578207995,3
47.212401578207995,47.90670113958375,4
47.90670113958375,48.60100070095951,7
48.60100070095951,49.29530026233527,5
49.29530026233527,49.98959982371103,5
49.98959982371103,50.68389938508679,4
50.68389938508679,51.37819894646255,5
51.37819894646255,52.072498507838304,3
52.072498507838304,52.76679806921406,3
52.76679806921406,53.46109763058982,0
53.46109763058982,54.155397191965584,2
54.155397191965584,54.84969675334134,1
54.84969675334134,55.5439963147171,2
55.5439963147171,56.238295876092856,3
56.238295876092856,56.93259543746861,1
56.93259543746861,57.62689499884438,1
57.62689499884438,58.321194560220135,0
58.321194560220135,59.01549412159589,2
59.01549412159589,59.70979368297165,3
59.70979368297165,60.40409324434741,2
60.40409324434741,61.098392805723165,3
61.098392805723165,61.79269236709893,2
61.79269236709893,62.48699192847469,1
62.48699192847469,63.181291489850445,2
63.181291489850445,63.8755910512262,3
63.8755910512262,64.56989061260197,1
64.56989061260197,65.26419017397772,3
65.26419017397772,65.95848973535348,2
65.95848973535348,66.65278929672924,3
66.65278929672924,67.347088858105,2
67.347088858105,68.04138841948075,0
68.04138841948075,68.73568798085651,0
68.73568798085651,69.42998754223227,0
69.42998754223227,70.12428710360803,3
70.12428710360803,70.8185866649838,1
70.8185866649838,71.51288622635956,0
71.51288622635956,72.20718578773531,0
72.20718578773531,72.90148534911107,0
72.90148534911107,73.59578491048683,0
73.59578491048683,74.29008447186258,1
74.29008447186258,74.98438403323834,1
74.98438403323834,75.6786835946141,0
75.6786835946141,76.37298315598986,3
76.37298315598986,77.06728271736561,1
77.06728271736561,77.76158227874137,0
77.76158227874137,78.45588184011714,0
78.45588184011714,79.1501814014929,1
79.1501814014929,79.84448096286866,0
79.84448096286866,80.53878052424442,0
80.53878052424442,81.23308008562017,0
81.23308008562017,81.92737964699593,1
81.92737964699593,82.62167920837169,0
82.62167920837169,83.31597876974745,0
83.31597876974745,84.0102783311232,1
84.0102783311232,84.70457789249896,0
