bin_start,bin_end,count
-5.361014284841338,-5.202858267799181,1
-5.202858267799181,-5.044702250757024,0
-5.044702250757024,-4.886546233714867,0
-4.886546233714867,-4.72839021667271,1
-4.72839021667271,-4.570234199630553,2
-4.570234199630553,-4.412078182588395,0
-4.412078182588395,-4.253922165546238,0
-4.253922165546238,-4.095766148504081,0
-4.095766148504081,-3.9376101314619243,0
-3.9376101314619243,-3.7794541144197673,0
-3.7794541144197673,-3.6212980973776103,0
-3.6212980973776103,-3.4631420803354533,3
-3.4631420803354533,-3.3049860632932964,5
-3.3049860632932964,-3.146830046251139,5
-3.146830046251139,-2.988674029208982,2
-2.988674029208982,-2.830518012166825,8
-2.830518012166825,-2.672361995124668,6
-2.672361995124668,-2.514205978082511,10
-2.514205978082511,-2.3560499610403536,12
-2.3560499610403536,-2.1978939439981966,12
-2.1978939439981966,-2.0397379269560396,18
-2.0397379269560396,-1.8815819099138826,22
-1.8815819099138826,-1.7234258928717257,28
-1.7234258928717257,-1.5652698758295687,47
-1.5652698758295687,-1.4071138587874112,76
-1.4071138587874112,-1.2489578417452547,128
-1.2489578417452547,-1.0908018247030968,164
-1.0908018247030968,-0.9326458076609399,229
-0.9326458076609399,-0.7744897906187829,377
-0.7744897906187829,-0.6163337735766259,616
-0.6163337735766259,-0.4581777565344689,1081
-0.4581777565344689,-0.3000217394923119,2077
-0.3000217394923119,-0.14186572245015494,4403
-0.14186572245015494,0.01629029459200204,215282
0.01629029459200204,0.17444631163415902,19673
0.17444631163415902,0.332602328676316,3534
0.332602328676316,0.490758345718473,1571
0.490758345718473,0.6489143627606309,871
0.6489143627606309,0.8070703798027878,527
0.8070703798027878,0.9652263968449448,307
0.9652263968449448,1.1233824138871018,194
1.1233824138871018,1.2815384309292588,135
1.2815384309292588,1.4396944479714158,88
1.4396944479714158,1.5978504650135728,62
1.5978504650135728,1.7560064820557297,53
1.7560064820557297,1.9141624990978867,33
1.9141624990978867,2.0723185161400437,44
2.0723185161400437,2.2304745331822007,26
2.2304745331822007,2.3886305502243586,28
2.3886305502243586,2.5467865672665155,14
2.5467865672665155,2.7049425843086725,13
2.7049425843086725,2.8630986013508286,8
2.8630986013508286,3.0212546183929865,10
3.0212546183929865,3.1794106354351443,7
3.1794106354351443,3.3375666524773004,11
3.3375666524773004,3.4957226695194583,16
3.4957226695194583,3.6538786865616144,4
3.6538786865616144,3.8120347036037723,12
3.8120347036037723,3.9701907206459284,5
3.9701907206459284,4.128346737688086,1
4.128346737688086,4.286502754730242,3
4.286502754730242,4.4446587717724,5
4.4446587717724,4.602814788814556,3
4.602814788814556,4.760970805856714,0
4.760970805856714,4.919126822898872,2
4.919126822898872,5.077282839941028,1
5.077282839941028,5.235438856983186,2
5.235438856983186,5.393594874025342,0
5.393594874025342,5.5517508910675,7
5.5517508910675,5.709906908109656,2
5.709906908109656,5.868062925151814,2
5.868062925151814,6.02621894219397,1
6.02621894219397,6.184374959236128,2
6.184374959236128,6.342530976278284,1
6.342530976278284,6.500686993320442,1
6.500686993320442,6.6588430103626,1
6.6588430103626,6.816999027404756,0
6.816999027404756,6.975155044446914,0
