Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,Optim_A,Optim_B,Optim_c,Optim_q,Optim_r,Optim_s,Optim_Lam,Optim_Nu,OptimCase,Margin,BacktrackIters,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
10,33.166668,13.861417,59.0,13.0,0.27721295,0.23355538,0.8033519,0.02688222,33.166668,85.1051,0.019342069,20.70732,1.9427487,22.477291,7.640601,0.64977247,0.37270528,2.133695,-0.43339196,-1.4603138e-08,-0.005911125,5.9604646e-09,-0.0012513847,132.62808,-19.880486,0.4553722,-0.40303534,0.0,0.0,0.0027064118,-0.035792857,-0.006717197,0.003587768,0.0009318906,0.0009853226,0.59897983,0.0,3.0,0.0,0.0,0.6627345,0.0021776408,4400,6.402158737182617,0,0.0
11,43.22222,29.861822,122.0,10.0,0.5156769,0.65993583,2.2358859,0.082081035,43.22222,90.255226,0.018803172,18.124462,2.6181667,21.473063,7.818082,0.060546905,0.1820063,0.4937555,-0.43619946,2.503395e-08,-0.006635515,1.4901161e-09,-0.00045033483,350.28162,-37.257812,0.45525977,-0.23856428,11.762114,0.0,0.012658395,0.0087942155,0.000362705,0.019253273,-0.00084824656,0.0001091032,1.19975,11.762114,1.0,0.0,0.0,0.653143,0.0015518011,4800,6.848081111907959,0,0.0
12,51.857143,19.334858,73.0,19.0,0.46600977,0.29465538,1.0346609,0.051354527,51.857143,93.682434,0.018015852,22.145947,2.0165148,23.990854,11.23039,0.44646424,0.09107597,0.70500463,0.16770537,-3.5762786e-09,-0.008873647,-1.527369e-09,0.0006440648,200.51602,-11.668411,0.08719055,-0.0692427,5.394339,0.0,0.0029434003,0.009113585,-0.00065545907,0.021352742,-0.002987075,0.00048467875,0.5683031,5.394339,2.0,0.0,0.0,0.64604896,0.00402394,5200,7.2852723598480225,0,0.0
13,38.9,16.071402,77.0,15.0,0.17892686,0.13036488,0.49617374,0.032189373,38.9,95.490166,0.017051816,24.16373,1.5123112,25.493105,14.557924,0.20147106,0.020901157,0.23194195,0.0816834,-1.7881393e-09,-0.016551062,3.2037497e-09,0.0010654439,164.56378,-35.5925,0.019855993,-0.012259505,0.0,0.0,0.0030479524,-0.52841526,-0.008253808,0.027067462,-0.0017433226,0.00012652938,1.6452192,0.0,3.0,0.0,0.0,0.6322214,0.004087454,5600,7.727070808410644,0,0.0
14,64.5,22.91106,91.0,35.0,1.2832638,1.463666,4.29136,0.08253224,64.5,103.301414,0.017216902,20.886734,3.671906,24.483438,7.2339616,0.13083102,0.05627289,0.31948468,-0.05188355,3.576279e-08,0.00072630704,1.3783574e-09,-0.0051235524,309.40765,-53.616486,1.2551377,-0.66216075,1.9494054,0.0,0.05642857,-0.046040587,0.012143625,0.056429923,5.9644197e-05,0.0026314433,0.0,1.9494054,0.0,0.0,0.0,0.6197986,0.0034200423,6000,8.155795097351074,0,0.0
15,65.6,44.07085,125.0,11.0,0.49911815,0.45978132,1.3238603,0.064511076,65.6,106.8496,0.01669525,25.604698,1.4813291,26.665209,15.48855,0.7401038,0.24361414,1.5762928,-0.010865539,-1.7881393e-09,-0.01015492,2.6822091e-09,-0.00014810234,505.02353,-110.27823,0.34951538,-0.233059,3.910272,0.0,0.012520665,0.009999837,-1.34428465e-05,0.029587446,-0.0043494683,0.0011084618,1.1189669,3.910272,2.0,0.0,0.0,0.6171849,0.0035758521,6400,8.59394907951355,0,0.0
16,46.375,19.760677,81.0,18.0,0.3391711,0.22521886,0.86592436,0.1366459,46.375,109.58738,0.01611579,29.128395,3.0088677,30.467976,6.9727983,0.32119015,0.056986395,0.45488733,0.14613882,-5.3644182e-09,-0.018540941,-3.1292438e-09,0.0013221456,201.40753,-41.122284,0.04028801,-0.02613942,0.0,0.0,0.014162146,-0.02841614,-0.0034680085,0.04269333,-0.002988706,0.0003130737,2.0662365,0.0,3.0,0.0,0.0,0.59528756,0.0037808926,6800,9.046324968338013,0,0.0
17,63.166668,21.505167,85.0,24.0,0.55392426,0.40513268,1.2628018,0.051836107,63.166668,113.05382,0.01570192,26.267227,4.37202,29.367718,5.9091215,0.20502323,0.048455525,0.38100687,0.051115237,2.9802322e-10,-0.0051067597,-3.1664968e-10,-0.0007619341,208.71559,-42.401886,0.07037583,-0.021700688,2.176095,0.0,0.003550928,0.008088955,0.0008536822,0.0037340452,-0.00026425623,0.000381348,0.6625593,2.176095,1.0,0.0,0.0,0.58211,0.003961921,7200,9.54923963546753,0,0.0
18,64.4,29.574312,120.0,33.0,0.32623369,0.09480983,0.48585093,0.23126511,64.4,115.12067,0.015147456,26.571253,5.2043147,30.275446,6.5437007,0.3292122,0.111277,0.6427189,-0.01728657,-1.5944243e-08,-0.01691835,1.1920929e-09,0.0014572948,288.04358,-57.33464,0.05942517,-0.036822222,0.0,0.0,0.0064721648,-0.017855145,-0.0026982347,0.02927796,-0.00244146,0.000261369,1.7110804,0.0,3.0,0.0,0.0,0.5757572,0.0036736417,7600,10.099295616149902,0,0.0
19,49.0,12.93942,69.0,34.0,0.7937489,0.54442686,1.7986214,0.17512721,49.0,121.56455,0.015195569,25.072788,9.331453,33.001698,-3.3744082,0.2094204,0.030949336,0.2781296,0.07322039,-1.013279e-08,0.018103275,3.9488075e-09,-0.0043028905,80.046036,-24.873222,0.24432251,-0.10215008,2.2564657,0.0,0.0025644973,-0.008298693,0.005994876,0.036038168,-0.008108151,0.0019639947,0.0,2.2564657,0.0,0.0,0.0,0.5650743,0.004480158,8000,10.616957187652588,0,0.0
20,64.0,21.64101,94.0,39.0,0.49776247,0.2826227,0.7861292,0.091644086,64.0,124.75431,0.014851703,26.726656,7.783876,32.575962,0.8408553,0.5156776,0.09689395,0.6877719,0.23631623,-1.3113022e-08,-0.0035842126,2.8312206e-09,-0.00015802511,133.79941,-13.999916,0.12673658,-0.10232147,6.130456,0.0,0.0018826425,0.009999217,-3.4961384e-05,0.060813494,-0.009597545,0.0015630668,0.43391126,6.130456,2.0,0.0,0.0,0.56377757,0.003137779,8400,11.32836890220642,0,0.0
21,47.0,11.532562,74.0,36.0,0.43702984,0.40995923,1.2831908,0.044905156,47.0,128.42227,0.01459344,21.82832,10.61337,33.032116,0.4870401,0.15469314,0.08013825,0.29544595,-0.07557821,6.8545343e-09,-0.013416308,-1.6763806e-09,3.577426e-05,29.85519,-4.746931,0.03994327,-0.0010787584,0.0,0.0,0.018292114,-0.0011098133,-0.0013397906,0.018295445,-2.3196553e-05,0.00016157239,1.3526065,0.0,3.0,0.0,0.0,0.5830898,0.00450091,8800,11.839736461639404,0,0.0
22,75.2,10.9252,93.0,62.0,1.0841334,0.71085864,2.3819947,0.3136984,75.2,133.97832,0.01456286,24.294643,10.780421,34.2057,-0.45298743,0.22558789,0.091804,0.41284975,0.020750629,-2.9802323e-09,0.018011326,2.4773181e-09,-0.0027422109,121.60816,-44.642693,0.20901857,-0.08662143,3.5719209,0.0,0.014747072,-0.06698349,0.0077677313,0.047661077,-0.0050790883,0.0007837739,0.0,3.5719209,0.0,0.0,0.0,0.5728955,0.004151532,9200,12.394769668579102,0,0.0
23,51.0,10.1653,66.0,38.0,0.6342093,0.47363394,1.450333,0.06670481,51.0,139.48244,0.014529421,29.607962,7.9216084,35.94708,7.477884,0.5357751,0.09695102,0.8084138,0.28361544,3.039837e-08,0.0069877156,-2.9057263e-09,-0.0015873322,210.99289,-47.816223,0.13274479,-0.019239113,6.146206,0.0,0.003423499,-0.016161064,0.0026315544,0.008951611,-0.0012096872,0.00026470938,0.0,6.146206,0.0,0.0,0.0,0.5591125,0.0042298175,9600,12.950754165649414,0,0.0
24,63.166668,21.05878,102.0,43.0,0.7010131,0.85784805,2.6084778,0.19128564,63.166668,143.89789,0.014389789,27.09996,11.184896,36.784744,2.2146087,0.47444975,0.20520297,1.0936589,-0.067207396,-1.37090685e-08,0.010850963,5.438924e-09,-0.0016788886,82.1432,-7.120102,0.1744452,-0.00911817,5.679227,0.0,0.009163238,-0.022663685,0.0031822652,0.02143779,-0.0019507725,0.00031003274,0.0,5.679227,0.0,0.0,0.0,0.55501866,0.0038354879,10000,12.75951623916626,0,0.0
