step,loss/value_loss
2000,40.0207791943044
4000,123.17865204388451
6000,27.53898083968996
8000,61.91313990072207
10000,103.62052480079501
12000,40.07547720391226
14000,22.398369567767883
16000,356.9872413756419
18000,170.55173971803845
20000,358.42301651501293
22000,172.96186575124736
24000,351.0272640689239
26000,171.8176044377269
28000,364.35747603836967
30000,169.65943274290584
32000,361.608045948008
34000,169.08725947152809
36000,359.84938443162116
38000,155.84037878348158
40000,289.2006622114121
42000,176.22193178278616
44000,369.5419273499878
46000,154.6371774940208
48000,399.76963110308577
50000,161.93317332190855
52000,402.68024263190097
54000,157.44712944951308
56000,392.9125792452782
58000,152.81183551050688
60000,391.1079803111034
62000,157.78554417509898
64000,389.8794674912699
66000,154.79458021513057
68000,390.5018166199176
70000,152.97974291948725
72000,384.1905208419451
74000,151.0519963525361
76000,388.50422567186905
78000,145.07066682957574
80000,329.39352531465147
82000,152.52684282928107
84000,399.92332888128146
86000,154.34648682140553
88000,385.81212426107953
90000,150.99876991063223
92000,391.8535511926537
94000,151.34415436615205
96000,394.5904241012645
98000,152.9857070255115
100000,387.1205743347331
2000,55.571628088874135
4000,70.81421797043467
6000,117.08046121602683
8000,122.24178677134626
10000,64.59105528052324
12000,154.17468900147728
14000,9.232211038807204
16000,192.1413212144123
18000,0.7899369362103396
20000,179.1643547237514
22000,343.3353757974964
24000,34.5081218766691
26000,436.77275903669545
28000,32.105959575982986
30000,443.6087996858141
32000,33.30726046003416
34000,439.842954469026
36000,33.233160669953506
38000,420.9870506020385
40000,32.3601948778317
42000,2.2653143805815414
44000,36.23202847978249
46000,2.2713273122288156
48000,36.077818286420424
50000,6.546564828562988
52000,34.55773564719221
54000,1.9187041807737764
56000,32.802065055385974
58000,2.405931223540908
60000,34.42390649469469
62000,2.062761241823872
64000,35.9893953040744
66000,2.1294878931775654
68000,36.10575694157161
70000,2.3075193818794864
72000,36.38322752227057
74000,2.32708251309291
76000,34.97747804979867
78000,2.972689473585615
80000,36.10987618051229
82000,2.1941733414660805
84000,33.47021511932928
86000,1.781076343305949
88000,31.657350729263776
90000,4.230701112541942
92000,33.343738589807536
94000,3.513810450006955
96000,36.15349202590015
98000,1.421431199219175
100000,33.96889259944716
