step,loss/approx_kl
2000,0.00318218784717222
4000,-0.0006395526773606739
6000,0.020723687329639986
8000,0.010508396538595357
10000,0.009117231339526674
12000,0.011276124363454678
14000,0.009139768150635065
16000,0.013926865688214699
18000,0.02910224137206872
20000,0.013357027038000523
22000,0.04301576345072438
24000,0.004132368097392222
26000,0.005301669597004851
28000,0.016469462029635902
30000,0.0021056707715615634
32000,0.003926599149902662
34000,0.01598706388225158
36000,0.011432265878344575
38000,0.03852423313849916
40000,0.004930133682986101
42000,0.0015471573220565916
44000,0.018549951980821787
46000,0.02664322529453784
48000,0.012569472705945373
50000,-0.001968651358038187
52000,0.01121204134542495
54000,0.022026473780473073
56000,-0.006478691900459429
58000,0.02845923211425543
60000,0.010324151868311067
62000,0.0033744322446485364
64000,0.010420088128497203
66000,0.007722733387102683
68000,0.010997337087367972
70000,0.027066014582912124
72000,0.0021450616031264266
74000,0.007181548303924501
76000,0.03111957573176672
78000,0.005784530138286451
80000,0.01376244492518405
82000,-0.0003610840300098062
84000,0.0024361974404503903
86000,0.023225570314874253
88000,0.016075954547462364
90000,0.013313468809550005
92000,0.007258317247033118
94000,0.017178711217517652
96000,0.006599012358735006
98000,-0.0016128887732823692
100000,0.003668434025409321
2000,0.008223721284108858
4000,0.0012251644860953093
6000,0.010725729757299025
8000,0.002198274612116317
10000,0.007009478185015419
12000,0.0030379886350904903
14000,0.0053551515641932675
16000,0.006175508877883354
18000,-0.001957957663883766
20000,0.012322555381494262
22000,0.0076060689520090815
24000,0.009370158798992634
26000,0.000987392966635525
28000,0.014010918039518098
30000,0.012132252434579034
32000,0.013861461154495677
34000,0.008232423399264614
36000,0.011463072352732221
38000,0.0031875512407471738
40000,0.015862137793252865
42000,0.015778944198973476
44000,0.027633993816561998
46000,-0.0032219622594614828
48000,0.010988654661923645
50000,0.0023585296468809245
52000,0.03560540821248045
54000,0.011750514044736822
56000,-0.001973203686065972
58000,0.0026315392150233186
60000,0.017369183075303832
62000,0.008719374805999299
64000,0.015790327498689295
66000,-0.0007527161234368878
68000,0.03605077448301018
70000,0.006538840375530224
72000,0.028297620452940465
74000,0.005643751332536339
76000,0.0031944349951421223
78000,-0.0036084910621866583
80000,0.024137782002799212
82000,0.019453812553547323
84000,0.021692731433237595
86000,0.008691654214635492
88000,0.009318501634212831
90000,0.01112493937058995
92000,0.014596391019100947
94000,0.016398323156560462
96000,0.033587991376407444
98000,0.0005477129947394131
100000,0.00253212694854786
