step,loss/policy_loss
2000,-0.009461076129345453
4000,-0.00975585557710332
6000,-0.009456420884856997
8000,-0.015985314093426118
10000,-0.010592867062000966
12000,-0.0077301717808956364
14000,-0.01103769432143379
16000,-0.019683683167848253
18000,-0.006653485059463659
20000,-0.007439251815907698
22000,0.001154764784065034
24000,-0.004446371718863443
26000,-0.001256419977184273
28000,0.0027978670249838465
30000,-0.011950903091513258
32000,-0.004972304798136317
34000,-0.010203599326483162
36000,-0.008091854102092039
38000,-0.0050782683909118475
40000,-0.003732561917782795
42000,-0.01051315504259501
44000,-0.007938365592306396
46000,-0.010065189029429088
48000,0.00033553934242413683
50000,-0.0076506063535356165
52000,6.41010040118269e-05
54000,-0.002765018888630561
56000,-0.0020571104812920704
58000,-0.008755346918367931
60000,-0.005766646564837588
62000,-0.011668959584516084
64000,-0.005693313022703624
66000,0.002792838582402278
68000,0.000218927892434192
70000,-0.004773131606212714
72000,-0.0009365427435631412
74000,-0.005597878509807217
76000,-0.007829765331815532
78000,-0.021873240234686765
80000,-0.0028911258505166064
82000,-0.00609454960053094
84000,0.002133287310122813
86000,-0.003046797715049762
88000,-0.0064109835972915585
90000,-0.007533969485160249
92000,0.002576001804541014
94000,-0.000459901347857739
96000,-0.0016069783274689198
98000,-0.0005633474349978294
100000,-0.00324499622061434
2000,-0.008968797033490078
4000,-0.008463176205109613
6000,-0.0070579536873607825
8000,-0.005416257858974582
10000,-0.016923263553988342
12000,-0.0042861527875757656
14000,-0.005425688881361417
16000,-0.003550873306542689
18000,-0.003954512259094452
20000,-0.009593172248401866
22000,-0.002979751400121577
24000,-0.0029588654435223176
26000,-0.005935797272036382
28000,-0.011409460746078634
30000,0.0017858369201461445
32000,-0.00604838746959813
34000,-0.002199597257206026
36000,-0.00436775551184535
38000,-0.004737734117848764
40000,-0.00829119860831035
42000,0.0031887219005199987
44000,0.000289942140761761
46000,0.0016239285906331047
48000,-0.0009801084395854867
50000,-0.001986334978510118
52000,-0.004872816307008747
54000,-0.005779103016449028
56000,-0.0015587808111526692
58000,-0.0004547065816140125
60000,-0.002422014362747784
62000,-0.010590010351411579
64000,0.003689828787566459
66000,-0.00910554631406098
68000,-0.009871419571663851
70000,-0.0007566170655797591
72000,-0.00312685554901061
74000,-0.00996072955125122
76000,0.0002815322751946945
78000,0.0010876148177806789
80000,-0.0008053226628757269
82000,-0.005356484600111711
84000,-0.010556870321268282
86000,-0.002482270084531965
88000,-0.006911949887798007
90000,-0.013559945589663044
92000,-0.004871272036927718
94000,-0.014221316460803953
96000,0.004674303705908423
98000,-0.011693752493767995
100000,-0.0015333302068253822
