bin_start,bin_end,count
4.603820064165352e-05,0.9497307014913077,20337
0.9497307014913077,1.8994153647819738,3993
1.8994153647819738,2.8491000280726397,1635
2.8491000280726397,3.7987846913633057,897
3.7987846913633057,4.748469354653972,564
4.748469354653972,5.698154017944638,380
5.698154017944638,6.647838681235304,296
6.647838681235304,7.59752334452597,207197
7.59752334452597,8.547208007816636,7416
8.547208007816636,9.496892671107302,2209
9.496892671107302,10.446577334397968,1364
10.446577334397968,11.396261997688635,887
11.396261997688635,12.345946660979301,654
12.345946660979301,13.295631324269966,519
13.295631324269966,14.245315987560632,422
14.245315987560632,15.195000650851298,347
15.195000650851298,16.144685314141963,286
16.144685314141963,17.094369977432628,255
17.094369977432628,18.044054640723296,237
18.044054640723296,18.99373930401396,193
18.99373930401396,19.94342396730463,180
19.94342396730463,20.893108630595293,184
20.893108630595293,21.842793293885958,128
21.842793293885958,22.792477957176626,125
22.792477957176626,23.74216262046729,104
23.74216262046729,24.69184728375796,93
24.69184728375796,25.641531947048623,106
25.641531947048623,26.591216610339288,84
26.591216610339288,27.540901273629956,71
27.540901273629956,28.49058593692062,70
28.49058593692062,29.44027060021129,60
29.44027060021129,30.389955263501953,44
30.389955263501953,31.339639926792618,36
31.339639926792618,32.28932459008329,27
32.28932459008329,33.23900925337396,34
33.23900925337396,34.18869391666462,46
34.18869391666462,35.13837857995529,29
35.13837857995529,36.088063243245955,23
36.088063243245955,37.037747906536616,38
37.037747906536616,37.987432569827284,27
37.987432569827284,38.93711723311795,18
38.93711723311795,39.88680189640862,11
39.88680189640862,40.83648655969928,19
40.83648655969928,41.78617122298995,17
41.78617122298995,42.73585588628062,14
42.73585588628062,43.68554054957128,20
43.68554054957128,44.63522521286195,14
44.63522521286195,45.584909876152615,22
45.584909876152615,46.534594539443276,11
46.534594539443276,47.484279202733944,6
47.484279202733944,48.43396386602461,9
48.43396386602461,49.38364852931528,6
49.38364852931528,50.33333319260594,15
50.33333319260594,51.28301785589661,5
51.28301785589661,52.23270251918728,10
52.23270251918728,53.18238718247794,3
53.18238718247794,54.13207184576861,5
54.13207184576861,55.081756509059275,3
55.081756509059275,56.031441172349936,7
56.031441172349936,56.981125835640604,8
56.981125835640604,57.93081049893127,1
57.93081049893127,58.88049516222194,4
58.88049516222194,59.8301798255126,5
59.8301798255126,60.77986448880327,4
60.77986448880327,61.72954915209394,1
61.72954915209394,62.6792338153846,3
62.6792338153846,63.62891847867527,3
63.62891847867527,64.57860314196593,4
64.57860314196593,65.5282878052566,5
65.5282878052566,66.47797246854726,3
66.47797246854726,67.42765713183792,2
67.42765713183792,68.37734179512859,5
68.37734179512859,69.32702645841925,0
69.32702645841925,70.27671112170992,3
