environment,timestep,episode_return,episode_length
Standard,7483,83.0,83
Standard,7507,24.0,24
Standard,7544,37.0,37
Standard,7590,46.0,46
Standard,7634,44.0,44
Standard,7693,59.0,59
Standard,7718,25.0,25
Standard,7740,22.0,22
Standard,7784,44.0,44
Standard,7844,60.0,60
Standard,7886,42.0,42
Standard,7977,91.0,91
Standard,8080,103.0,103
Standard,8103,23.0,23
Standard,8173,70.0,70
Standard,8191,18.0,18
Standard,8247,56.0,56
Standard,8292,45.0,45
Standard,8394,102.0,102
Standard,8526,132.0,132
Standard,8626,100.0,100
Standard,8702,76.0,76
Standard,8763,61.0,61
Standard,8816,53.0,53
Standard,8939,123.0,123
Standard,8987,48.0,48
Standard,9050,63.0,63
Standard,9171,121.0,121
Standard,9205,34.0,34
Standard,9305,100.0,100
Standard,9416,111.0,111
Standard,9566,150.0,150
Standard,9605,39.0,39
Standard,9713,108.0,108
Standard,9798,85.0,85
Standard,9921,123.0,123
Standard,10059,138.0,138
Standard,10141,82.0,82
Standard,10197,56.0,56
Standard,10346,149.0,149
Standard,10652,306.0,306
Standard,10854,202.0,202
Standard,11157,303.0,303
Standard,11290,133.0,133
Standard,11384,94.0,94
Standard,11655,271.0,271
Standard,11751,96.0,96
Standard,11929,178.0,178
Standard,12088,159.0,159
Standard,12497,409.0,409
Standard,12570,73.0,73
Standard,12943,373.0,373
Standard,13167,224.0,224
Standard,13227,60.0,60
Standard,13471,244.0,244
Standard,13703,232.0,232
Standard,13876,173.0,173
Standard,14053,177.0,177
Standard,14235,182.0,182
Standard,14393,158.0,158
Standard,14676,283.0,283
Standard,15110,434.0,434
Standard,15323,213.0,213
Standard,15466,143.0,143
Standard,15583,117.0,117
Standard,15846,263.0,263
Standard,15994,148.0,148
Standard,16256,262.0,262
Standard,16667,411.0,411
Standard,16930,263.0,263
Standard,17259,329.0,329
Standard,17580,321.0,321
Standard,17891,311.0,311
Standard,18133,242.0,242
Standard,18326,193.0,193
Standard,18654,328.0,328
Standard,19154,500.0,500
Standard,19654,500.0,500
Standard,19985,331.0,331
Standard,20485,500.0,500
Standard,20677,192.0,192
Standard,21177,500.0,500
Standard,21677,500.0,500
Standard,22177,500.0,500
Standard,22677,500.0,500
Standard,23177,500.0,500
Standard,23677,500.0,500
Standard,24177,500.0,500
Standard,24594,417.0,417
Standard,24959,365.0,365
Standard,25459,500.0,500
Standard,25575,116.0,116
Standard,26075,500.0,500
Standard,26575,500.0,500
Standard,27075,500.0,500
Standard,27575,500.0,500
Standard,28075,500.0,500
Standard,28575,500.0,500
Standard,29075,500.0,500
Standard,29575,500.0,500
Standard,30075,500.0,500
Standard,30575,500.0,500
Standard,31075,500.0,500
Standard,31575,500.0,500
Standard,32075,500.0,500
Standard,32575,500.0,500
Standard,33075,500.0,500
Standard,33575,500.0,500
Standard,34075,500.0,500
Standard,34575,500.0,500
Standard,35075,500.0,500
Standard,35575,500.0,500
Standard,36075,500.0,500
Standard,36575,500.0,500
Standard,37075,500.0,500
Standard,37575,500.0,500
Standard,38075,500.0,500
Standard,38575,500.0,500
Standard,39075,500.0,500
Standard,39575,500.0,500
Standard,40075,500.0,500
Standard,40575,500.0,500
Standard,41075,500.0,500
Standard,41575,500.0,500
Standard,42075,500.0,500
Standard,42575,500.0,500
Standard,43075,500.0,500
Standard,43575,500.0,500
Standard,44075,500.0,500
Standard,44575,500.0,500
Standard,45075,500.0,500
Standard,45575,500.0,500
Standard,46075,500.0,500
Standard,46575,500.0,500
Standard,47075,500.0,500
Standard,47575,500.0,500
Standard,48075,500.0,500
Standard,48575,500.0,500
Standard,49075,500.0,500
Standard,49575,500.0,500
Standard,50075,500.0,500
Standard,50575,500.0,500
Standard,51075,500.0,500
Standard,51575,500.0,500
Standard,52075,500.0,500
Standard,52575,500.0,500
Standard,53075,500.0,500
Standard,53575,500.0,500
Standard,54075,500.0,500
Standard,54575,500.0,500
Standard,55075,500.0,500
Standard,55575,500.0,500
Standard,56075,500.0,500
Standard,56575,500.0,500
Standard,57075,500.0,500
Standard,57575,500.0,500
Standard,58075,500.0,500
Standard,58575,500.0,500
Standard,59075,500.0,500
Standard,59575,500.0,500
Standard,60075,500.0,500
Standard,60575,500.0,500
Standard,61075,500.0,500
Standard,61575,500.0,500
Standard,62075,500.0,500
Standard,62575,500.0,500
Standard,63075,500.0,500
Standard,63575,500.0,500
Standard,64075,500.0,500
Standard,64575,500.0,500
Standard,65075,500.0,500
Standard,65575,500.0,500
Standard,66075,500.0,500
Standard,66575,500.0,500
Standard,67075,500.0,500
Standard,67575,500.0,500
Standard,68075,500.0,500
Standard,68575,500.0,500
Standard,69075,500.0,500
Standard,69575,500.0,500
Standard,70075,500.0,500
Standard,70575,500.0,500
Standard,71075,500.0,500
Standard,71575,500.0,500
Standard,72075,500.0,500
Standard,72575,500.0,500
Standard,73075,500.0,500
Standard,73575,500.0,500
Standard,74075,500.0,500
Standard,74575,500.0,500
Standard,75075,500.0,500
Standard,75575,500.0,500
Standard,76075,500.0,500
Standard,76575,500.0,500
Standard,77075,500.0,500
Standard,77575,500.0,500
Standard,78075,500.0,500
Standard,78575,500.0,500
Standard,79075,500.0,500
Standard,79575,500.0,500
Standard,80075,500.0,500
Standard,80575,500.0,500
Standard,81075,500.0,500
Standard,81575,500.0,500
Standard,82075,500.0,500
Standard,82575,500.0,500
Standard,83075,500.0,500
Standard,83575,500.0,500
Standard,84075,500.0,500
Standard,84575,500.0,500
Standard,85075,500.0,500
Standard,85575,500.0,500
Standard,86075,500.0,500
Standard,86575,500.0,500
Standard,87075,500.0,500
Standard,87575,500.0,500
Standard,88075,500.0,500
Standard,88575,500.0,500
Standard,89075,500.0,500
Standard,89575,500.0,500
Standard,90075,500.0,500
Standard,90575,500.0,500
Standard,91075,500.0,500
Standard,91575,500.0,500
Standard,92075,500.0,500
Standard,92575,500.0,500
Standard,93075,500.0,500
Standard,93575,500.0,500
Standard,94075,500.0,500
Standard,94575,500.0,500
Standard,95075,500.0,500
Standard,95575,500.0,500
Standard,96075,500.0,500
Standard,96575,500.0,500
Standard,97075,500.0,500
Standard,97575,500.0,500
Standard,98075,500.0,500
Standard,98575,500.0,500
Standard,99075,500.0,500
Standard,99575,500.0,500
Standard,100075,500.0,500
Custom,33,18.050313,33
Custom,58,4.790437,25
Custom,69,-4.764286,11
Custom,82,-5.060142,13
Custom,96,-1.372034,14
Custom,141,29.423815,45
Custom,159,5.25645,18
Custom,172,-0.44463,13
Custom,195,10.259162,23
Custom,205,-5.761944,10
Custom,237,5.367097,32
Custom,252,1.149105,15
Custom,274,9.793316,22
Custom,286,-2.351134,12
Custom,297,-2.16247,11
Custom,309,-5.114701,12
Custom,339,16.829781,30
Custom,373,3.160377,34
Custom,388,3.04716,15
Custom,439,27.177741,51
Custom,451,-0.758003,12
Custom,473,-4.066434,22
Custom,486,-8.054639,13
Custom,530,12.569809,44
Custom,541,-11.282892,11
Custom,560,5.654757,19
Custom,581,6.636369,21
Custom,607,10.844175,26
Custom,630,9.062894,23
Custom,662,11.499612,32
Custom,677,-5.667901,15
Custom,690,-0.123144,13
Custom,702,-9.345532,12
Custom,718,4.237769,16
Custom,818,49.724368,100
Custom,831,1.780209,13
Custom,858,12.712359,27
Custom,876,5.15065,18
Custom,910,17.733134,34
Custom,921,-6.900121,11
Custom,940,0.297316,19
Custom,969,12.99768,29
Custom,1010,20.796856,41
Custom,1037,4.764172,27
Custom,1051,1.19667,14
Custom,1071,6.081311,20
Custom,1085,-4.565403,14
Custom,1097,-0.388683,12
Custom,1114,-10.307224,17
Custom,1131,4.893994,17
Custom,1157,5.802159,26
Custom,1182,8.395296,25
Custom,1196,-2.538656,14
Custom,1214,-8.024485,18
Custom,1223,-7.191821,9
Custom,1240,3.630514,17
Custom,1276,13.626486,36
Custom,1295,3.271735,19
Custom,1313,2.117748,18
Custom,1327,-1.861518,14
Custom,1359,16.70015,32
Custom,1429,30.812432,70
Custom,1453,10.057041,24
Custom,1470,-1.357282,17
Custom,1484,-2.975692,14
Custom,1502,3.952093,18
Custom,1530,13.498342,28
Custom,1544,-3.92097,14
Custom,1557,-2.335754,13
Custom,1595,13.693932,38
Custom,1609,0.478629,14
Custom,1624,2.819559,15
Custom,1645,0.334795,21
Custom,1669,5.097933,24
Custom,1701,18.042287,32
Custom,1723,7.729312,22
Custom,1733,-8.194473,10
Custom,1749,1.627305,16
Custom,1782,14.07705,33
Custom,1795,-7.601808,13
Custom,1820,4.309553,25
Custom,1835,1.546498,15
Custom,1850,0.97503,15
Custom,1864,-2.704511,14
Custom,1874,-14.280911,10
Custom,1900,-17.706854,26
Custom,1911,-5.479548,11
Custom,1936,4.781078,25
Custom,1967,15.667805,31
Custom,1982,2.038135,15
Custom,2006,7.87518,24
Custom,2027,4.814932,21
Custom,2043,-5.285006,16
Custom,2093,25.343363,50
Custom,2133,18.460276,40
Custom,2154,6.979344,21
Custom,2180,6.563185,26
Custom,2208,12.234389,28
Custom,2224,-0.566282,16
Custom,2280,31.680281,56
Custom,2304,2.627446,24
Custom,2356,11.017043,52
Custom,2369,1.883052,13
Custom,2404,17.782389,35
Custom,2414,-3.187336,10
Custom,2428,1.506784,14
Custom,2445,0.682369,17
Custom,2458,1.275863,13
Custom,2472,-1.982845,14
Custom,2494,9.278791,22
Custom,2518,9.831461,24
Custom,2528,-3.6894,10
Custom,2559,14.201923,31
Custom,2569,-1.678203,10
Custom,2603,17.134872,34
Custom,2622,2.267352,19
Custom,2641,-0.881077,19
Custom,2668,10.545703,27
Custom,2702,11.895457,34
Custom,2716,-0.741048,14
Custom,2748,11.594154,32
Custom,2761,-2.320899,13
Custom,2789,4.853638,28
Custom,2850,36.80194,61
Custom,2870,4.571923,20
Custom,2891,3.164008,21
Custom,2960,28.744575,69
Custom,2973,-3.372123,13
Custom,3000,13.769032,27
Custom,3040,15.455874,40
Custom,3088,30.350535,48
Custom,3096,-5.961845,8
Custom,3111,-2.721699,15
Custom,3150,23.956477,39
Custom,3181,16.559206,31
Custom,3207,9.495415,26
Custom,3228,6.578027,21
Custom,3255,12.725978,27
Custom,3276,-10.053863,21
Custom,3297,7.906431,21
Custom,3318,8.83094,21
Custom,3377,27.142276,59
Custom,3398,1.464624,21
Custom,3431,15.689669,33
Custom,3476,15.372739,45
Custom,3500,9.845002,24
Custom,3519,5.286511,19
Custom,3577,15.285801,58
Custom,3586,-4.980141,9
Custom,3603,5.41695,17
Custom,3623,3.790905,20
Custom,3645,6.332413,22
Custom,3672,11.670634,27
Custom,3698,6.694171,26
Custom,3728,-1.588166,30
Custom,3759,12.248576,31
Custom,3791,16.738716,32
Custom,3849,42.056056,58
Custom,3881,12.366098,32
Custom,3917,12.615354,36
Custom,3927,-5.422323,10
Custom,3957,14.490877,30
Custom,3998,16.210102,41
Custom,4030,7.439544,32
Custom,4063,18.084867,33
Custom,4109,27.268418,46
Custom,4134,9.363268,25
Custom,4146,-0.104181,12
Custom,4216,49.518412,70
Custom,4262,25.399747,46
Custom,4288,11.652368,26
Custom,4319,12.719948,31
Custom,4345,11.243529,26
Custom,4361,3.447121,16
Custom,4398,22.836699,37
Custom,4448,30.324602,50
Custom,4478,14.405086,30
Custom,4493,3.059407,15
Custom,4545,23.784152,52
Custom,4581,20.335886,36
Custom,4615,14.857779,34
Custom,4644,15.797509,29
Custom,4667,9.100106,23
Custom,4678,-6.764723,11
Custom,4718,21.490984,40
Custom,4769,26.893217,51
Custom,4787,4.871456,18
Custom,4825,20.668603,38
Custom,4856,16.872314,31
Custom,4890,17.489248,34
Custom,4912,9.086987,22
Custom,4939,11.469958,27
Custom,4966,8.289084,27
Custom,4980,-0.450023,14
Custom,5029,22.956842,49
Custom,5075,29.139668,46
Custom,5132,37.484126,57
Custom,5144,-0.576257,12
Custom,5179,12.045183,35
Custom,5196,0.44085,17
Custom,5235,22.575194,39
Custom,5275,25.542381,40
Custom,5297,6.668347,22
Custom,5356,37.852414,59
Custom,5372,-6.934939,16
Custom,5394,9.603861,22
Custom,5426,17.250044,32
Custom,5460,17.870361,34
Custom,5492,16.986691,32
Custom,5534,23.031275,42
Custom,5569,14.001904,35
Custom,5622,25.623583,53
Custom,5640,6.364684,18
Custom,5679,21.33432,39
Custom,5699,6.581387,20
Custom,5746,32.455999,47
Custom,5788,18.818824,42
Custom,5819,7.74811,31
Custom,5859,22.130831,40
Custom,5884,11.309591,25
Custom,5916,17.217926,32
Custom,5962,26.632488,46
Custom,6034,36.973099,72
Custom,6157,22.867967,123
Custom,6193,17.26495,36
Custom,6222,14.985221,29
Custom,6279,36.053866,57
Custom,6344,32.639584,65
