step,time/step_time
2000,0.22058677673339844
4000,0.2568933963775635
6000,0.1753833293914795
8000,0.1781613826751709
10000,0.19537878036499023
12000,0.19281888008117676
14000,0.180983304977417
16000,0.19300127029418945
18000,0.17359447479248047
20000,0.19123625755310059
22000,0.17035937309265137
24000,0.2137291431427002
26000,0.20631933212280273
28000,0.19961214065551758
30000,0.20731711387634277
32000,0.21056079864501953
34000,0.1805570125579834
36000,0.21687817573547363
38000,0.1790320873260498
40000,0.17986559867858887
42000,0.21026945114135742
44000,0.17498111724853516
46000,0.18637371063232422
48000,0.17186236381530762
50000,0.20585870742797852
52000,0.20565056800842285
54000,0.18841552734375
56000,0.21345853805541992
58000,0.1829822063446045
60000,0.19469881057739258
62000,0.20906376838684082
64000,0.19817328453063965
66000,0.20568013191223145
68000,0.19879436492919922
70000,0.17271065711975098
72000,0.2132270336151123
74000,0.20549345016479492
76000,0.19012165069580078
78000,0.1973733901977539
80000,0.17515015602111816
82000,0.21268868446350098
84000,0.2118363380432129
86000,0.13976168632507324
88000,0.19693326950073242
90000,0.19091463088989258
92000,0.21443390846252441
94000,0.19913148880004883
96000,0.20547699928283691
98000,0.2237846851348877
100000,0.21890759468078613
2000,0.21821975708007812
4000,0.22476935386657715
6000,0.18173646926879883
8000,0.21169257164001465
10000,0.2044980525970459
12000,0.22052550315856934
14000,0.20615386962890625
16000,0.26688265800476074
18000,0.2213447093963623
20000,0.22149133682250977
22000,0.24373626708984375
24000,0.19741034507751465
26000,0.211655855178833
28000,0.1842954158782959
30000,0.1940474510192871
32000,0.21436285972595215
34000,0.1880481243133545
36000,0.19126653671264648
38000,0.27730703353881836
40000,0.2088484764099121
42000,0.1970524787902832
44000,0.18232464790344238
46000,0.20331430435180664
48000,0.20112824440002441
50000,0.19994068145751953
52000,0.18603086471557617
54000,0.1927790641784668
56000,0.283245325088501
58000,0.22872281074523926
60000,0.20813632011413574
62000,0.20092344284057617
64000,0.1934795379638672
66000,0.21049046516418457
68000,0.1689293384552002
70000,0.19769597053527832
72000,0.16790127754211426
74000,0.20916533470153809
76000,0.19081950187683105
78000,0.2135016918182373
80000,0.1641521453857422
82000,0.17239928245544434
84000,0.19045495986938477
86000,0.2176988124847412
88000,0.20810317993164062
90000,0.2217562198638916
92000,0.20169568061828613
94000,0.17191338539123535
96000,0.16324424743652344
98000,0.1939246654510498
100000,0.21346592903137207
