environment,timesteps,mean_metric,std_metric
Standard,0.0,10.333333333333334,4.714045207910316
Standard,2000.0,10.333333333333334,3.2998316455372216
Standard,4000.0,9.0,5.354126134736337
Standard,6000.0,5.333333333333333,0.9428090415820634
Standard,8000.0,9.333333333333334,4.4969125210773475
Standard,10000.0,6.666666666666667,1.8856180831641267
Standard,12000.0,6.333333333333333,1.699673171197595
Standard,14000.0,16.666666666666668,5.436502143433363
Standard,16000.0,10.0,3.559026084010437
Standard,18000.0,13.333333333333334,6.599663291074443
Standard,20000.0,10.0,1.632993161855452
Standard,22000.0,4.0,0.816496580927726
Standard,24000.0,13.333333333333334,6.342099196813483
Standard,26000.0,13.333333333333334,7.408703590297623
Standard,28000.0,9.333333333333334,2.6246692913372702
Standard,30000.0,13.333333333333334,5.312459150169743
Standard,32000.0,14.333333333333334,2.0548046676563256
Standard,34000.0,19.666666666666668,11.61416759345623
Standard,36000.0,32.333333333333336,14.383632673594278
Standard,38000.0,29.666666666666668,16.73983937265296
Standard,40000.0,30.0,14.98888477061141
Standard,42000.0,22.333333333333332,10.402991022884823
Standard,44000.0,33.0,8.640987597877148
Standard,46000.0,31.333333333333332,9.568466729604882
Standard,48000.0,49.666666666666664,20.417857108151406
Standard,50000.0,32.666666666666664,16.81930108205715
Standard,52000.0,35.666666666666664,12.283683848458853
Standard,54000.0,38.333333333333336,14.383632673594278
Standard,56000.0,24.0,6.164414002968976
Standard,58000.0,40.666666666666664,10.498677165349081
Standard,60000.0,44.0,3.7416573867739413
Standard,62000.0,37.666666666666664,7.408703590297622
Standard,64000.0,40.666666666666664,5.436502143433364
Standard,66000.0,70.0,29.473151624260794
Standard,68000.0,35.0,12.328828005937952
Standard,70000.0,52.666666666666664,7.039570693980959
Standard,72000.0,56.666666666666664,14.817407180595247
Standard,74000.0,65.33333333333333,12.814921857827391
Standard,76000.0,46.666666666666664,6.018490028422596
Standard,78000.0,56.0,12.675435561221029
Standard,80000.0,51.666666666666664,10.873004286866728
Standard,82000.0,99.33333333333333,36.718145680606234
Standard,84000.0,62.0,25.508168626278653
Standard,86000.0,45.333333333333336,19.154343864744856
Standard,88000.0,71.0,48.249352327259274
Standard,90000.0,100.33333333333333,47.11923410054775
Standard,92000.0,61.0,31.187604375242845
Standard,94000.0,72.66666666666667,17.441967269268172
Standard,96000.0,83.0,19.252705437591537
Standard,98000.0,90.33333333333333,10.873004286866728
Standard,100000.0,93.66666666666667,32.78549814916481
Standard,102000.0,66.33333333333333,33.6386021641143
Standard,104000.0,120.66666666666667,79.55850398012494
Standard,106000.0,103.0,54.94239407476404
Standard,108000.0,69.66666666666667,9.392668535736915
Standard,110000.0,80.0,13.490737563232042
Standard,112000.0,81.33333333333333,30.444849956747838
Standard,114000.0,101.66666666666667,53.89083616183945
Standard,116000.0,81.33333333333333,29.578520735305354
Standard,118000.0,86.0,36.0647565729573
Standard,120000.0,87.33333333333333,36.298148100909444
Standard,122000.0,65.66666666666667,21.076579946049648
Standard,124000.0,110.66666666666667,47.00590979393501
Standard,126000.0,94.0,19.096247449870006
Standard,128000.0,121.0,62.8702367314349
Standard,130000.0,69.0,18.49324200890693
Standard,132000.0,119.33333333333333,60.47772776448827
Standard,134000.0,99.66666666666667,26.849374087469695
Standard,136000.0,119.66666666666667,28.686039965266882
Standard,138000.0,108.0,19.252705437591537
Standard,140000.0,96.66666666666667,10.338708279513883
Standard,142000.0,101.0,30.21037349432586
Standard,144000.0,116.33333333333333,15.107025591499548
Standard,146000.0,122.0,40.2326567189723
Standard,148000.0,117.66666666666667,49.567014121176285
Standard,150000.0,102.66666666666667,23.697163449568293
Standard,152000.0,164.33333333333334,93.30356668185604
Standard,154000.0,119.33333333333333,30.944394574067136
Standard,156000.0,108.33333333333333,46.08928532991396
Standard,158000.0,149.66666666666666,22.21611027060218
Standard,160000.0,131.33333333333334,55.04139856104272
Standard,162000.0,159.66666666666666,52.689868307125444
Standard,164000.0,106.0,39.85808157283372
Standard,166000.0,112.0,21.416504538945347
Standard,168000.0,126.33333333333333,18.408935028645434
Standard,170000.0,161.66666666666666,22.365648262955006
