Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
14,46.57647,10.538864,83.0,26.0,1.5372878,0.5865537,3.0252178,0.44920963,46.57647,1791.8615,0.029864358,21.156355,4.6178455,23.06935,-13.856381,0.88706994,0.08980931,1.1558383,0.5155039,4.030188e-09,-0.00040549523,7.390976e-09,0.000117477415,120.73148,-1.2304993,0.24843007,-0.025755554,0.52523744,-0.013703287,79.0,0.9449047,0.002049547,60000,35.233508348464966,0
15,49.296295,15.036944,115.0,31.0,1.5763355,0.6812604,3.1832294,0.49744856,49.296295,1919.6176,0.029994024,21.203703,5.3805194,23.393679,-15.692399,1.0400589,0.056820147,1.2131342,0.7694964,-5.2833786e-09,-0.0022352713,3.963709e-09,0.0013754338,155.50754,-3.4736023,0.31108424,-0.0011612773,0.51153415,-0.015791208,79.0,0.94537514,0.0031939263,64000,37.608612298965454,0
16,48.864197,14.310278,129.0,33.0,1.5545051,0.58421576,2.7639756,0.4695,48.864197,2046.0187,0.03008851,23.303888,4.2946095,24.740623,-10.297153,1.0338273,0.04089829,1.1240823,0.7474235,5.163474e-10,-0.0011278812,5.9604643e-10,0.00018893766,162.96684,-1.3103333,0.24326313,-0.00030988455,0.49574295,-0.012204081,79.0,0.9277141,0.0037373523,68000,39.99077820777893,0
17,48.07229,12.891375,99.0,30.0,1.4647593,0.6058734,3.146123,0.51669,48.07229,2167.6843,0.030106727,23.037464,3.8505564,24.121752,-12.8189335,1.0288393,0.037574563,1.108664,0.77828884,5.9189236e-09,-0.0022667593,3.3676624e-09,0.0023564273,152.54074,-1.9721375,0.24110594,-0.007050827,0.48353887,-0.016382784,79.0,0.90870744,0.003772644,72000,42.35976219177246,0
18,51.402596,15.135114,115.0,28.0,1.6406349,0.63531023,3.7000034,0.6512369,51.402596,2294.1853,0.03018665,21.944897,3.746245,23.113523,-10.822148,0.9742111,0.084359095,1.2256249,0.57665443,-7.0481674e-09,-0.0016037729,-2.7418137e-09,-0.0009192972,171.3575,-4.2656403,0.2730815,-0.011461884,0.46715608,-0.010722458,79.0,0.9078228,0.0027323705,76000,44.7443585395813,0
19,52.11842,14.020631,107.0,33.0,1.6020424,0.56944835,3.1497495,0.57798743,52.11842,2416.0435,0.030200543,23.43649,4.311003,24.747698,-9.140998,1.0651611,0.037918683,1.141038,0.7559445,6.3068967e-10,-0.0014172671,1.4901161e-09,-0.0008618454,162.36522,-1.1782684,0.23332301,-0.0012121946,0.45643362,-0.009872168,79.0,0.88618094,0.0035817774,80000,47.140931129455566,0
20,54.819443,14.570066,108.0,37.0,1.5714704,0.59934115,2.818125,0.44155285,54.819443,2530.1382,0.030120693,22.87762,6.175009,25.088797,-15.455005,1.0383257,0.029514926,1.1044549,0.81472516,8.804044e-09,-0.0025891066,3.1590461e-09,0.0018109641,165.45738,-6.0517273,0.24564572,-0.002912581,0.44656146,-0.014169663,79.0,0.8757882,0.0033421596,84000,49.619648933410645,0
21,55.605633,14.109711,92.0,34.0,1.6279653,0.6076691,3.489259,0.53874904,55.605633,2645.8306,0.030066257,24.224886,6.0758624,26.73049,-5.932602,1.0253173,0.0599303,1.1875693,0.7026995,-3.828395e-09,-0.003847195,3.3080578e-09,0.0025209738,153.47156,-2.642395,0.23948184,-0.0012501031,0.4323918,-0.01691401,79.0,0.8603429,0.0036078445,88000,52.01000022888184,0
22,54.438354,11.31248,94.0,35.0,1.805881,0.4665575,3.1935306,0.6138386,54.438354,2777.689,0.03019227,25.407787,5.808056,27.630089,-6.4600797,1.0461661,0.056801204,1.1903825,0.7542361,-9.648752e-09,-0.0022736576,-3.606081e-09,0.0005379041,145.97246,-2.5982666,0.21369007,-0.025183171,0.41547778,-0.011520594,79.0,0.8715322,0.002835114,92000,54.39653921127319,0
23,56.9,15.571175,114.0,38.0,1.8727827,0.624374,3.8644552,0.6479717,56.9,2908.8076,0.030300079,24.515795,5.129351,26.36594,-3.3950028,1.2027495,0.04995194,1.3031425,0.868705,-1.3030427e-10,-0.0027054122,-1.0430813e-09,-0.00146121,176.93747,-1.3730927,0.28460968,-0.00070390105,0.4039572,-0.0077759326,79.0,0.8724473,0.0023937896,96000,56.77455258369446,0
