algorithm,timesteps,mean_episode_length,std_episode_length
PPO,0.0,10.6,4.079215610874228
PPO,5000.0,17.820571095571097,6.938381168495469
PPO,10000.0,18.43192118226601,6.796091095080479
PPO,15000.0,32.98722979831414,22.227282356016225
PPO,20000.0,17.4,7.445804187594514
PPO,25000.0,45.31355588151027,16.908005374636666
PPO,30000.0,93.17001357918025,40.420309586574554
PPO,35000.0,93.55427169203128,44.49606377939097
PPO,40000.0,60.0,30.093188598086446
PPO,45000.0,158.7918689844936,51.41753138977205
PPO,50000.0,256.476345239853,120.63832112454396
PPO,55000.0,491.2369102273516,254.00538678217785
PPO,60000.0,409.0,303.78479224608986
PPO,65000.0,732.832688533782,328.74618817470395
PPO,70000.0,1000.0,0.0
PPO,75000.0,964.6079207920793,70.78415841584156
PPO,80000.0,966.0,68.0
PPO,85000.0,847.3581769436998,305.28364611260054
PPO,90000.0,901.5805714285714,196.83885714285714
PPO,95000.0,950.7592000000001,69.98395703702386
PPO,100000.0,800.2,354.017174724617
PPO,105000.0,1000.0,0.0
PPO,110000.0,1000.0,0.0
PPO,115000.0,961.1171270718232,77.76574585635358
PPO,120000.0,841.0,255.07959542072354
PPO,125000.0,886.2317999999999,227.5364
PPO,130000.0,1000.0,0.0
PPO,135000.0,1000.0,0.0
PPO,140000.0,1000.0,0.0
PPO,145000.0,975.0631999999999,49.87359999999999
PPO,150000.0,762.306352573702,221.58280701062247
PPO,155000.0,973.5886,52.8228
PPO,160000.0,1000.0,0.0
PPO,165000.0,880.3305925233644,150.05206915352684
PPO,170000.0,1000.0,0.0
PPO,175000.0,985.2749391727493,29.45012165450121
PPO,180000.0,818.0,364.0
PPO,185000.0,1000.0,0.0
PPO,190000.0,847.7259701492537,199.8314667806476
PPO,195000.0,952.552,94.896
PPO,200000.0,819.2,361.6
PPO-Lagrangian,0.0,10.0,3.7416573867739413
PPO-Lagrangian,5000.0,21.161865477517654,5.833566214774501
PPO-Lagrangian,10000.0,20.41021645021645,7.796290251395303
PPO-Lagrangian,15000.0,18.10307692307692,5.707144074852523
PPO-Lagrangian,20000.0,15.4,11.341957503006261
PPO-Lagrangian,25000.0,30.061077468630664,7.2732627227355575
PPO-Lagrangian,30000.0,34.89404093739048,9.160156220005982
PPO-Lagrangian,35000.0,36.417990511395054,6.019862872435218
PPO-Lagrangian,40000.0,18.8,5.2687759489277965
PPO-Lagrangian,45000.0,40.21780274214949,7.690676848399882
PPO-Lagrangian,50000.0,48.75152724707945,5.38896459506679
PPO-Lagrangian,55000.0,47.62914285714286,7.41529461068576
PPO-Lagrangian,60000.0,29.2,6.554387843269575
PPO-Lagrangian,65000.0,63.56949746774766,15.010385424102969
PPO-Lagrangian,70000.0,50.95616322701689,6.26772131372389
PPO-Lagrangian,75000.0,53.83638275732828,2.669568309321974
PPO-Lagrangian,80000.0,48.0,12.116104984688768
PPO-Lagrangian,85000.0,68.0568322321428,2.1980665237254313
PPO-Lagrangian,90000.0,68.05867797808413,6.668716372865851
PPO-Lagrangian,95000.0,63.82517595664801,8.690312495477176
PPO-Lagrangian,100000.0,43.0,13.281566172707194
PPO-Lagrangian,105000.0,86.84079656583697,26.619011222431272
PPO-Lagrangian,110000.0,95.29308089563298,36.648894908332124
PPO-Lagrangian,115000.0,95.77921996050307,29.7530132154427
PPO-Lagrangian,120000.0,45.2,21.056115501202967
PPO-Lagrangian,125000.0,112.17116753136943,28.223772810521094
PPO-Lagrangian,130000.0,111.75441963766643,35.970062911184634
PPO-Lagrangian,135000.0,112.50304381966956,35.4560870864827
PPO-Lagrangian,140000.0,52.8,19.73220717507294
