environment,timestep,episode_return,episode_length
Standard,45505,206.0,206
Standard,45970,465.0,465
Standard,46068,98.0,98
Standard,46185,117.0,117
Standard,46685,500.0,500
Standard,46795,110.0,110
Standard,46987,192.0,192
Standard,47110,123.0,123
Standard,47291,181.0,181
Standard,47791,500.0,500
Standard,48084,293.0,293
Standard,48266,182.0,182
Standard,48766,500.0,500
Standard,49266,500.0,500
Standard,49766,500.0,500
Standard,50266,500.0,500
Standard,50636,370.0,370
Standard,50836,200.0,200
Standard,51103,267.0,267
Standard,51421,318.0,318
Standard,51664,243.0,243
Standard,51868,204.0,204
Standard,51951,83.0,83
Standard,52116,165.0,165
Standard,52234,118.0,118
Standard,52254,20.0,20
Standard,52445,191.0,191
Standard,52495,50.0,50
Standard,52593,98.0,98
Standard,52677,84.0,84
Standard,52719,42.0,42
Standard,52918,199.0,199
Standard,53086,168.0,168
Standard,53342,256.0,256
Standard,53410,68.0,68
Standard,53542,132.0,132
Standard,53555,13.0,13
Standard,53626,71.0,71
Standard,53643,17.0,17
Standard,53815,172.0,172
Standard,53834,19.0,19
Standard,53849,15.0,15
Standard,53967,118.0,118
Standard,54049,82.0,82
Standard,54096,47.0,47
Standard,54299,203.0,203
Standard,54417,118.0,118
Standard,54438,21.0,21
Standard,54698,260.0,260
Standard,54803,105.0,105
Standard,54910,107.0,107
Standard,54984,74.0,74
Standard,55064,80.0,80
Standard,55281,217.0,217
Standard,55381,100.0,100
Standard,55582,201.0,201
Standard,55855,273.0,273
Standard,55982,127.0,127
Standard,56051,69.0,69
Standard,56070,19.0,19
Standard,56347,277.0,277
Standard,56633,286.0,286
Standard,56657,24.0,24
Standard,56956,299.0,299
Standard,57059,103.0,103
Standard,57233,174.0,174
Standard,57365,132.0,132
Standard,57562,197.0,197
Standard,57669,107.0,107
Standard,57891,222.0,222
Standard,57903,12.0,12
Standard,58107,204.0,204
Standard,58175,68.0,68
Standard,58449,274.0,274
Standard,58812,363.0,363
Standard,59062,250.0,250
Standard,59346,284.0,284
Standard,59520,174.0,174
Standard,59806,286.0,286
Standard,60155,349.0,349
Standard,60506,351.0,351
Standard,60728,222.0,222
Standard,61000,272.0,272
Standard,61241,241.0,241
Standard,61442,201.0,201
Standard,61591,149.0,149
Standard,61776,185.0,185
Standard,61931,155.0,155
Standard,62115,184.0,184
Standard,62244,129.0,129
Standard,62389,145.0,145
Standard,62527,138.0,138
Standard,62671,144.0,144
Standard,62826,155.0,155
Standard,62997,171.0,171
Standard,63146,149.0,149
Standard,63297,151.0,151
Standard,63460,163.0,163
Standard,63613,153.0,153
Standard,63760,147.0,147
Standard,63899,139.0,139
Standard,64052,153.0,153
Standard,64194,142.0,142
Standard,64327,133.0,133
Standard,64472,145.0,145
Standard,64630,158.0,158
Standard,64666,36.0,36
Standard,64818,152.0,152
Standard,64991,173.0,173
Standard,65168,177.0,177
Standard,65368,200.0,200
Standard,65547,179.0,179
Standard,65734,187.0,187
Standard,65881,147.0,147
Standard,66017,136.0,136
Standard,66185,168.0,168
Standard,66339,154.0,154
Standard,66517,178.0,178
Standard,66721,204.0,204
Standard,66907,186.0,186
Standard,67115,208.0,208
Standard,67325,210.0,210
Standard,67533,208.0,208
Standard,67713,180.0,180
Standard,67905,192.0,192
Standard,68106,201.0,201
Standard,68281,175.0,175
Standard,68458,177.0,177
Standard,68629,171.0,171
Standard,68818,189.0,189
Standard,68972,154.0,154
Standard,69178,206.0,206
Standard,69373,195.0,195
Standard,69592,219.0,219
Standard,69893,301.0,301
Standard,70393,500.0,500
Standard,70893,500.0,500
Standard,71393,500.0,500
Standard,71694,301.0,301
Standard,72194,500.0,500
Standard,72694,500.0,500
Standard,73194,500.0,500
Standard,73694,500.0,500
Standard,74127,433.0,433
Standard,74230,103.0,103
Standard,74471,241.0,241
Standard,74630,159.0,159
Standard,74883,253.0,253
Standard,75148,265.0,265
Standard,75543,395.0,395
Standard,75997,454.0,454
Standard,76209,212.0,212
Standard,76709,500.0,500
Standard,76896,187.0,187
Standard,77046,150.0,150
Standard,77200,154.0,154
Standard,77362,162.0,162
Standard,77514,152.0,152
Standard,77675,161.0,161
Standard,77794,119.0,119
Standard,77935,141.0,141
Standard,78083,148.0,148
Standard,78217,134.0,134
Standard,78357,140.0,140
Standard,78493,136.0,136
Standard,78643,150.0,150
Standard,78782,139.0,139
Standard,78917,135.0,135
Standard,79076,159.0,159
Standard,79221,145.0,145
Standard,79382,161.0,161
Standard,79508,126.0,126
Standard,79672,164.0,164
Standard,79809,137.0,137
Standard,79962,153.0,153
Standard,80126,164.0,164
Standard,80274,148.0,148
Standard,80411,137.0,137
Standard,80541,130.0,130
Standard,80676,135.0,135
Standard,80819,143.0,143
Standard,81000,181.0,181
Standard,81153,153.0,153
Standard,81291,138.0,138
Standard,81489,198.0,198
Standard,81703,214.0,214
Standard,81877,174.0,174
Standard,82021,144.0,144
Standard,82215,194.0,194
Standard,82391,176.0,176
Standard,82545,154.0,154
Standard,82744,199.0,199
Standard,82897,153.0,153
Standard,83112,215.0,215
Standard,83318,206.0,206
Standard,83519,201.0,201
Standard,83702,183.0,183
Standard,83862,160.0,160
Standard,84104,242.0,242
Standard,84319,215.0,215
Standard,84582,263.0,263
Standard,84834,252.0,252
Standard,85091,257.0,257
Standard,85264,173.0,173
Standard,85440,176.0,176
Standard,85677,237.0,237
Standard,85931,254.0,254
Standard,86404,473.0,473
Standard,86904,500.0,500
Standard,87124,220.0,220
Standard,87326,202.0,202
Standard,87507,181.0,181
Standard,87732,225.0,225
Standard,87980,248.0,248
Standard,88468,488.0,488
Standard,88968,500.0,500
Standard,89468,500.0,500
Standard,89968,500.0,500
Standard,90468,500.0,500
Standard,90968,500.0,500
Standard,91468,500.0,500
Standard,91968,500.0,500
Standard,92468,500.0,500
Standard,92968,500.0,500
Standard,93468,500.0,500
Standard,93968,500.0,500
Standard,94468,500.0,500
Standard,94968,500.0,500
Standard,95468,500.0,500
Standard,95968,500.0,500
Standard,96468,500.0,500
Standard,96968,500.0,500
Standard,97468,500.0,500
Standard,97968,500.0,500
Standard,98468,500.0,500
Standard,98968,500.0,500
Standard,99468,500.0,500
Standard,99968,500.0,500
Custom,33,23.892569,33
Custom,58,21.490974,25
Custom,69,7.033753,11
Custom,82,8.418349,13
Custom,96,9.646911,14
Custom,141,36.791157,45
Custom,159,11.477058,18
Custom,175,10.005207,16
Custom,191,10.79586,16
Custom,202,7.688219,11
Custom,213,7.559602,11
Custom,225,8.78502,12
Custom,240,11.041912,15
Custom,252,8.4265,12
Custom,274,14.482297,22
Custom,289,9.652378,15
Custom,305,9.864542,16
Custom,348,37.840964,43
Custom,384,23.568117,36
Custom,434,46.092571,50
Custom,458,17.91105,24
Custom,470,8.521703,12
Custom,491,15.56863,21
Custom,507,10.591908,16
Custom,518,6.192837,11
Custom,537,14.639158,19
Custom,559,16.21765,22
Custom,580,15.177338,21
Custom,613,27.962539,33
Custom,650,30.391063,37
Custom,665,10.578372,15
Custom,695,21.97504,30
Custom,715,13.264155,20
Custom,731,11.298462,16
Custom,749,12.744248,18
Custom,759,5.690248,10
Custom,784,18.175517,25
Custom,812,21.040002,28
Custom,835,18.016636,23
Custom,889,43.347902,54
Custom,934,37.190897,45
Custom,960,15.395163,26
Custom,1055,67.242755,95
Custom,1086,23.08399,31
Custom,1137,35.237926,51
Custom,1163,19.651535,26
Custom,1219,48.864051,56
Custom,1254,25.320346,35
Custom,1339,47.979271,85
Custom,1367,14.058659,28
Custom,1423,47.51666,56
Custom,1467,35.858875,44
Custom,1502,17.817892,35
Custom,1549,38.496137,47
Custom,1579,19.128943,30
Custom,1611,23.244529,32
Custom,1657,27.134183,46
Custom,1683,18.329088,26
Custom,1753,52.842064,70
Custom,1814,41.76992,61
Custom,1886,55.850625,72
Custom,1936,36.084146,50
Custom,1978,27.991273,42
Custom,2061,55.532297,83
Custom,2090,21.930892,29
Custom,2136,30.778868,46
Custom,2179,32.001341,43
Custom,2220,29.758433,41
Custom,2279,38.250387,59
Custom,2347,54.870106,68
Custom,2377,23.540293,30
Custom,2434,43.752963,57
Custom,2474,30.779747,40
Custom,2506,19.166492,32
Custom,2588,45.993839,82
Custom,2658,39.438983,70
Custom,2800,99.305438,142
Custom,3005,153.980033,205
Custom,3135,96.171891,130
Custom,3249,69.96739,114
Custom,3272,17.861404,23
Custom,3300,16.005361,28
Custom,3329,23.447435,29
Custom,3630,262.813607,301
Custom,3710,59.37838,80
Custom,3787,50.704215,77
Custom,3899,89.719209,112
Custom,4267,255.871071,368
Custom,4326,46.432395,59
Custom,4452,92.97949,126
Custom,4580,97.183971,128
Custom,4756,151.525485,176
Custom,4978,200.523248,222
Custom,5225,205.019644,247
Custom,5455,209.193567,230
Custom,5657,168.594909,202
Custom,5957,277.86367,300
Custom,6133,145.489996,176
Custom,6418,253.609971,285
Custom,6713,260.436165,295
Custom,6891,150.606979,178
Custom,7273,348.093586,382
Custom,7446,143.732387,173
Custom,7852,341.255566,406
Custom,8262,358.982121,410
Custom,8432,150.030291,170
Custom,8624,151.600079,192
Custom,9114,365.305631,490
Custom,9245,86.045644,131
Custom,9378,102.52595,133
Custom,9709,277.438676,331
Custom,9904,175.329672,195
Custom,10100,169.182023,196
Custom,10152,41.078735,52
Custom,10312,123.278825,160
Custom,10560,196.512899,248
Custom,10767,188.914557,207
Custom,11011,222.993116,244
Custom,11186,161.682627,175
Custom,11399,194.548915,213
Custom,11613,184.168958,214
Custom,11773,132.43557,160
Custom,12042,215.388482,269
Custom,12303,235.192858,261
Custom,12456,132.62477,153
Custom,12773,296.980462,317
Custom,12946,145.913563,173
Custom,13072,95.616413,126
Custom,13252,159.467658,180
Custom,13405,128.75982,153
Custom,13566,133.402548,161
Custom,13925,335.007769,359
Custom,14156,208.761846,231
Custom,14281,98.439036,125
Custom,14601,284.72183,320
Custom,14994,366.479394,393
Custom,15494,461.445428,500
Custom,15994,463.578142,500
Custom,16256,221.369814,262
Custom,16641,361.934025,385
Custom,16958,285.297668,317
Custom,17343,361.533324,385
Custom,17699,329.443194,356
Custom,18199,471.045132,500
Custom,18699,482.240829,500
Custom,18805,79.313906,106
Custom,19157,322.05887,352
Custom,19303,123.99749,146
Custom,19448,124.787755,145
Custom,19586,106.954085,138
Custom,19809,201.434702,223
Custom,19980,147.991963,171
Custom,20143,147.797939,163
Custom,20271,92.81396,128
Custom,20431,143.319632,160
Custom,20583,128.196873,152
Custom,20728,121.75135,145
Custom,21006,261.145208,278
Custom,21506,472.299601,500
Custom,21780,262.05066,274
Custom,22098,276.724228,318
Custom,22447,296.844977,349
Custom,22693,221.448661,246
Custom,22897,178.132185,204
Custom,23165,247.703648,268
Custom,23615,413.433588,450
Custom,24013,380.054892,398
Custom,24475,438.012276,462
Custom,24816,317.780348,341
Custom,25102,263.096159,286
Custom,25496,357.32776,394
Custom,25737,211.563208,241
Custom,25991,223.311594,254
Custom,26392,371.183325,401
Custom,26765,338.820205,373
Custom,26993,192.861219,228
Custom,27195,170.963456,202
Custom,27394,160.358544,199
Custom,27617,205.149411,223
Custom,27920,277.066168,303
Custom,28129,193.302579,209
Custom,28451,302.390211,322
Custom,28930,446.994767,479
Custom,29430,454.274629,500
Custom,29803,349.022945,373
Custom,30303,467.276124,500
Custom,30803,471.809737,500
Custom,31303,489.357379,500
Custom,31803,490.24761,500
Custom,32251,429.828265,448
Custom,32691,420.782874,440
Custom,33191,486.10546,500
Custom,33691,484.53407,500
Custom,34191,493.538041,500
Custom,34691,492.015898,500
Custom,35191,491.89697,500
Custom,35691,491.74565,500
Custom,36191,486.430576,500
Custom,36691,494.492967,500
Custom,37191,497.972221,500
Custom,37691,497.482844,500
Custom,38191,494.604093,500
Custom,38691,497.02712,500
Custom,39191,497.855631,500
Custom,39691,498.905481,500
Custom,40191,487.181245,500
Custom,40691,495.600338,500
Custom,41191,498.623061,500
Custom,41691,498.36201,500
Custom,42191,497.945331,500
Custom,42691,498.273563,500
Custom,43191,497.85931,500
Custom,43691,492.369657,500
Custom,44191,498.71437,500
Custom,44691,496.779812,500
Custom,45191,494.441168,500
Custom,45691,496.776133,500
Custom,46191,492.999075,500
Custom,46691,498.817397,500
Custom,47191,493.826108,500
Custom,47691,492.798208,500
