algorithm,timesteps,mean_return,std_return
PPO,0.0,10.0,3.7416573867739413
PPO,5000.0,15.868903846153845,5.061520997310296
PPO,10000.0,24.59583507889959,17.768863587158226
PPO,15000.0,24.336783216783214,7.992038994545262
PPO,20000.0,32.2,40.23630201695976
PPO,25000.0,42.498924403581015,12.675220238794605
PPO,30000.0,66.78247694334651,20.97808531452043
PPO,35000.0,73.28212674892879,20.933344542824607
PPO,40000.0,35.0,27.23967694375247
PPO,45000.0,129.0171287040197,55.39093740093918
PPO,50000.0,194.49184583980838,96.48777483656549
PPO,55000.0,462.9364270726377,353.9174600780989
PPO,60000.0,158.4,106.89172091420365
PPO,65000.0,618.6031071895425,379.41620523331784
PPO,70000.0,761.4552,365.59942086956323
PPO,75000.0,776.5768680246234,362.6122692867207
PPO,80000.0,777.0,374.2213248867574
PPO,85000.0,748.9403,310.9432040282598
PPO,90000.0,672.2223598211215,401.9395688899092
PPO,95000.0,813.7775943661971,329.8545906836708
PPO,100000.0,456.0,444.2004052226877
PPO,105000.0,950.0018,99.99639999999998
PPO,110000.0,1000.0,0.0
PPO,115000.0,1000.0,0.0
PPO,120000.0,868.2,263.59999999999997
PPO,125000.0,837.65,324.7
PPO,130000.0,900.2446,116.79895937481633
PPO,135000.0,1000.0,0.0
PPO,140000.0,826.0,348.0
PPO,145000.0,1000.0,0.0
PPO,150000.0,1000.0,0.0
PPO,155000.0,963.592,72.81599999999999
PPO,160000.0,897.8,204.39999999999998
PPO,165000.0,758.3968912035965,250.78904912691593
PPO,170000.0,1000.0,0.0
PPO,175000.0,919.6207448586072,100.41576265642635
PPO,180000.0,839.8,320.4
PPO,185000.0,1000.0,0.0
PPO,190000.0,1000.0,0.0
PPO,195000.0,1000.0,0.0
PPO,200000.0,933.2,133.6
PPO+CBF,0.0,9.8,3.370459909270543
PPO+CBF,5000.0,15.95897729273015,3.3163843943522497
PPO+CBF,10000.0,24.078559738134206,12.748343717697322
PPO+CBF,15000.0,17.723913043478262,7.262059262075595
PPO+CBF,20000.0,18.0,16.516658257650064
PPO+CBF,25000.0,40.57137488552532,9.855654462541604
PPO+CBF,30000.0,52.56333672279378,20.07542589840013
PPO+CBF,35000.0,52.650355317248696,9.429035002588261
PPO+CBF,40000.0,64.4,45.90250537824706
PPO+CBF,45000.0,146.57379258181072,63.88122677436401
PPO+CBF,50000.0,355.4497804735302,332.83151664936565
PPO+CBF,55000.0,375.815626649773,321.8232061648412
PPO+CBF,60000.0,376.6,318.3322792303665
PPO+CBF,65000.0,777.2438674793821,297.28461720312714
PPO+CBF,70000.0,621.5984426396723,313.9246676376407
PPO+CBF,75000.0,895.0126545454547,152.89678439036484
PPO+CBF,80000.0,791.0,216.7542387128796
PPO+CBF,85000.0,1000.0,0.0
PPO+CBF,90000.0,986.6368,26.72639999999997
PPO+CBF,95000.0,1000.0,0.0
PPO+CBF,100000.0,1000.0,0.0
PPO+CBF,105000.0,1000.0,0.0
PPO+CBF,110000.0,1000.0,0.0
PPO+CBF,115000.0,879.1835051546392,241.63298969072167
PPO+CBF,120000.0,830.6,338.79999999999995
PPO+CBF,125000.0,1000.0,0.0
PPO+CBF,130000.0,1000.0,0.0
PPO+CBF,135000.0,979.7823109843081,40.43537803138374
PPO+CBF,140000.0,632.6,450.7361090482989
PPO+CBF,145000.0,950.0881999999999,99.8236
PPO+CBF,150000.0,958.82,82.36000000000004
PPO+CBF,155000.0,1000.0,0.0
PPO+CBF,160000.0,830.0,340.0
PPO+CBF,165000.0,1000.0,0.0
PPO+CBF,170000.0,1000.0,0.0
PPO+CBF,175000.0,946.5574,87.73222417698074
PPO+CBF,180000.0,661.4,419.6377485403333
PPO+CBF,185000.0,830.2838604026845,271.19472250079275
PPO+CBF,190000.0,907.42712718894,113.46751164306191
PPO+CBF,195000.0,968.8498,62.300399999999996
PPO+CBF,200000.0,1000.0,0.0
