algorithm,timesteps,mean_return,std_return
PPO,0.0,9.8,2.993325909419153
PPO,5000.0,12.198181818181817,4.155261127934358
PPO,10000.0,27.831267059678588,15.7818755914273
PPO,15000.0,24.03073258904838,5.651500219923488
PPO,20000.0,8.2,4.445222154178573
PPO,25000.0,48.669571605195976,13.915817705184782
PPO,30000.0,46.53653337602567,16.195171738405843
PPO,35000.0,110.52624557894414,84.94522284292387
PPO,40000.0,62.6,32.24034739266933
PPO,45000.0,177.5457250960582,58.67546327894194
PPO,50000.0,351.71803340169583,328.9456504932206
PPO,55000.0,406.3661778873533,283.348298569611
PPO,60000.0,301.8,254.5925372040587
PPO,65000.0,455.4701900383141,300.75763864213053
PPO,70000.0,796.5946342412451,291.6472002839277
PPO,75000.0,793.0732,276.6817385968218
PPO,80000.0,711.0,293.54318251323775
PPO,85000.0,916.1666666666667,167.66666666666663
PPO,90000.0,1000.0,0.0
PPO,95000.0,1000.0,0.0
PPO,100000.0,788.2,278.78622634556393
PPO,105000.0,1000.0,0.0
PPO,110000.0,1000.0,0.0
PPO,115000.0,983.4966000000001,33.00680000000002
PPO,120000.0,553.4,373.52568854096234
PPO,125000.0,952.4642,95.07159999999999
PPO,130000.0,901.0288,197.94239999999996
PPO,135000.0,852.4542124542124,295.0915750915751
PPO,140000.0,890.2,148.2058028553538
PPO,145000.0,1000.0,0.0
PPO,150000.0,926.0887314343845,99.20738494977759
PPO,155000.0,952.5088,94.98240000000003
PPO,160000.0,1000.0,0.0
PPO,165000.0,845.1802474383301,210.0318297405995
PPO,170000.0,891.8525862068966,216.29482758620688
PPO,175000.0,946.3503546099291,107.29929078014182
PPO,180000.0,715.6,377.96116202594146
PPO,185000.0,1000.0,0.0
PPO,190000.0,1000.0,0.0
PPO,195000.0,1000.0,0.0
PPO,200000.0,780.6,365.3949096525566
PPO+CBF,0.0,10.0,3.7416573867739413
PPO+CBF,5000.0,14.711692307692308,4.974092177883603
PPO+CBF,10000.0,20.007053531264056,4.72018866312682
PPO+CBF,15000.0,36.88501457629365,13.467853883577314
PPO+CBF,20000.0,17.8,10.067770358922575
PPO+CBF,25000.0,35.08216991341992,16.225420513387675
PPO+CBF,30000.0,46.36207896939218,15.010655047853335
PPO+CBF,35000.0,60.55158990777839,23.28926540367876
PPO+CBF,40000.0,44.6,39.89786961731165
PPO+CBF,45000.0,272.55395997675663,329.36121479275187
PPO+CBF,50000.0,295.04515398876015,354.3057454692472
PPO+CBF,55000.0,402.9568497087842,358.07452051549205
PPO+CBF,60000.0,355.0,338.9082471702334
PPO+CBF,65000.0,714.4306282780445,355.5282252895557
PPO+CBF,70000.0,702.5263675889328,364.3811564614189
PPO+CBF,75000.0,842.645259938838,314.7094801223241
PPO+CBF,80000.0,491.6,369.1962079978612
PPO+CBF,85000.0,958.9042,82.19160000000001
PPO+CBF,90000.0,1000.0,0.0
PPO+CBF,95000.0,968.8,62.4
PPO+CBF,100000.0,593.8,359.2405322343235
PPO+CBF,105000.0,950.0031999999999,99.99360000000003
PPO+CBF,110000.0,1000.0,0.0
PPO+CBF,115000.0,917.5402,164.91959999999997
PPO+CBF,120000.0,669.0,356.0943695145993
PPO+CBF,125000.0,874.6857142857143,250.6285714285714
PPO+CBF,130000.0,841.3155339805826,317.36893203883494
