algorithm,n_seeds,mean_return,std_return,mean_violation_rate,std_violation_rate,mean_episodes
PPO,5,926.2933333333334,141.85526371779244,0.15344632768361582,0.29024058829442106,59.2
PPO-Lagrangian,5,891.0,147.81592945281642,0.15,0.1960725489313699,59.4
CPO,5,57.27333333333333,5.279242369886042,0.0,0.0,59.0
PPO+CBF,2,704.3416666666667,133.45833333333331,0.36680790960451976,0.3498587570621469,59.5
