tag,timesteps,episodic_return
baseline,18447,115.0
baseline,18574,127.0
baseline,18700,126.0
baseline,18781,81.0
baseline,18869,88.0
baseline,18892,23.0
baseline,18986,94.0
baseline,19136,150.0
baseline,19273,137.0
baseline,19390,117.0
baseline,19505,115.0
baseline,19741,236.0
baseline,19891,150.0
baseline,20016,125.0
baseline,20149,133.0
baseline,20287,138.0
baseline,20305,18.0
baseline,20322,17.0
baseline,20340,18.0
baseline,20356,16.0
baseline,20373,17.0
baseline,20388,15.0
baseline,20406,18.0
baseline,20423,17.0
baseline,20439,16.0
baseline,20457,18.0
baseline,20471,14.0
baseline,20600,129.0
baseline,20759,159.0
baseline,20905,146.0
baseline,21045,140.0
baseline,21177,132.0
baseline,21317,140.0
baseline,21337,20.0
baseline,21363,26.0
baseline,21392,29.0
baseline,21414,22.0
baseline,21441,27.0
baseline,21463,22.0
baseline,21486,23.0
baseline,21505,19.0
baseline,21635,130.0
baseline,21753,118.0
baseline,21873,120.0
baseline,21995,122.0
baseline,22166,171.0
baseline,22262,96.0
baseline,22396,134.0
baseline,22526,130.0
baseline,22635,109.0
baseline,22738,103.0
baseline,22836,98.0
baseline,22927,91.0
baseline,23018,91.0
baseline,23129,111.0
baseline,23350,221.0
baseline,23407,57.0
baseline,23468,61.0
baseline,23528,60.0
baseline,23681,153.0
baseline,23787,106.0
baseline,23921,134.0
baseline,24051,130.0
baseline,24183,132.0
baseline,24335,152.0
baseline,24451,116.0
baseline,24576,125.0
baseline,24683,107.0
baseline,24780,97.0
baseline,24883,103.0
baseline,25023,140.0
baseline,25163,140.0
baseline,25269,106.0
baseline,25377,108.0
baseline,25601,224.0
baseline,25901,300.0
baseline,25990,89.0
baseline,26015,25.0
baseline,26104,89.0
baseline,26283,179.0
baseline,26426,143.0
baseline,26645,219.0
baseline,26658,13.0
baseline,26761,103.0
baseline,26794,33.0
baseline,26893,99.0
baseline,26987,94.0
baseline,27077,90.0
baseline,27176,99.0
baseline,27366,190.0
baseline,27531,165.0
baseline,27643,112.0
baseline,28115,472.0
baseline,28351,236.0
baseline,28516,165.0
baseline,28682,166.0
baseline,28880,198.0
baseline,29339,459.0
baseline,29464,125.0
baseline,29900,436.0
baseline,30400,500.0
baseline,30749,349.0
baseline,30920,171.0
baseline,31161,241.0
baseline,31630,469.0
baseline,31962,332.0
baseline,32462,500.0
baseline,32962,500.0
baseline,33109,147.0
baseline,33227,118.0
baseline,33356,129.0
baseline,33581,225.0
baseline,33746,165.0
baseline,33936,190.0
baseline,34082,146.0
baseline,34213,131.0
baseline,34352,139.0
baseline,34568,216.0
baseline,35068,500.0
baseline,35568,500.0
baseline,36068,500.0
baseline,36568,500.0
baseline,37068,500.0
baseline,37568,500.0
baseline,37899,331.0
baseline,38399,500.0
baseline,38567,168.0
baseline,38753,186.0
baseline,39177,424.0
baseline,39677,500.0
baseline,39931,254.0
baseline,40431,500.0
baseline,40931,500.0
baseline,41431,500.0
baseline,41931,500.0
baseline,42431,500.0
baseline,42931,500.0
baseline,43431,500.0
baseline,43931,500.0
baseline,44431,500.0
baseline,44664,233.0
baseline,44793,129.0
baseline,44926,133.0
baseline,45051,125.0
baseline,45551,500.0
baseline,45692,141.0
baseline,45828,136.0
baseline,46328,500.0
baseline,46342,14.0
baseline,46842,500.0
baseline,47008,166.0
baseline,47508,500.0
baseline,48008,500.0
baseline,48508,500.0
baseline,49008,500.0
baseline,49508,500.0
baseline,50008,500.0
symbolic,30,30.0
symbolic,50,20.0
symbolic,70,20.0
symbolic,92,22.0
symbolic,118,26.0
symbolic,152,34.0
symbolic,186,34.0
symbolic,199,13.0
symbolic,248,49.0
symbolic,264,16.0
symbolic,286,22.0
symbolic,321,35.0
symbolic,354,33.0
symbolic,371,17.0
symbolic,404,33.0
symbolic,416,12.0
symbolic,433,17.0
symbolic,449,16.0
symbolic,471,22.0
symbolic,501,30.0
symbolic,521,20.0
symbolic,537,16.0
symbolic,599,62.0
symbolic,609,10.0
symbolic,635,26.0
symbolic,651,16.0
symbolic,665,14.0
symbolic,675,10.0
symbolic,686,11.0
symbolic,704,18.0
symbolic,722,18.0
symbolic,742,20.0
symbolic,782,40.0
symbolic,797,15.0
symbolic,810,13.0
symbolic,841,31.0
symbolic,868,27.0
symbolic,877,9.0
symbolic,894,17.0
symbolic,920,26.0
symbolic,942,22.0
symbolic,956,14.0
symbolic,980,24.0
symbolic,988,8.0
symbolic,1014,26.0
symbolic,1028,14.0
symbolic,1039,11.0
symbolic,1061,22.0
symbolic,1080,19.0
symbolic,1100,20.0
symbolic,1122,22.0
symbolic,1134,12.0
symbolic,1154,20.0
symbolic,1168,14.0
symbolic,1192,24.0
symbolic,1201,9.0
symbolic,1218,17.0
symbolic,1226,8.0
symbolic,1239,13.0
symbolic,1253,14.0
symbolic,1277,24.0
symbolic,1308,31.0
symbolic,1319,11.0
symbolic,1343,24.0
symbolic,1410,67.0
symbolic,1423,13.0
symbolic,1446,23.0
symbolic,1472,26.0
symbolic,1484,12.0
symbolic,1500,16.0
symbolic,1530,30.0
symbolic,1557,27.0
symbolic,1575,18.0
symbolic,1592,17.0
symbolic,1635,43.0
symbolic,1691,56.0
symbolic,1708,17.0
symbolic,1761,53.0
symbolic,1777,16.0
symbolic,1827,50.0
symbolic,1864,37.0
symbolic,1892,28.0
symbolic,1902,10.0
symbolic,1911,9.0
symbolic,1938,27.0
symbolic,1966,28.0
symbolic,2005,39.0
symbolic,2036,31.0
symbolic,2092,56.0
symbolic,2142,50.0
symbolic,2158,16.0
symbolic,2179,21.0
symbolic,2211,32.0
symbolic,2268,57.0
symbolic,2315,47.0
symbolic,2360,45.0
symbolic,2426,66.0
symbolic,2540,114.0
symbolic,2655,115.0
symbolic,2685,30.0
symbolic,2739,54.0
symbolic,2797,58.0
symbolic,2813,16.0
symbolic,2875,62.0
symbolic,2921,46.0
symbolic,2945,24.0
symbolic,2974,29.0
symbolic,3068,94.0
symbolic,3120,52.0
symbolic,3155,35.0
symbolic,3242,87.0
symbolic,3366,124.0
symbolic,3408,42.0
symbolic,3436,28.0
symbolic,3529,93.0
symbolic,3575,46.0
symbolic,3666,91.0
symbolic,3690,24.0
symbolic,3720,30.0
symbolic,3741,21.0
symbolic,3860,119.0
symbolic,3925,65.0
symbolic,4032,107.0
symbolic,4082,50.0
symbolic,4111,29.0
symbolic,4128,17.0
symbolic,4185,57.0
symbolic,4271,86.0
symbolic,4460,189.0
symbolic,4481,21.0
symbolic,4536,55.0
symbolic,4583,47.0
symbolic,4715,132.0
symbolic,4783,68.0
symbolic,4934,151.0
symbolic,5049,115.0
symbolic,5105,56.0
symbolic,5145,40.0
symbolic,5298,153.0
symbolic,5450,152.0
symbolic,5479,29.0
symbolic,5528,49.0
symbolic,5923,395.0
symbolic,6205,282.0
symbolic,6429,224.0
symbolic,6561,132.0
symbolic,6703,142.0
symbolic,7155,452.0
symbolic,7411,256.0
symbolic,7661,250.0
symbolic,7986,325.0
symbolic,8382,396.0
symbolic,8751,369.0
symbolic,9046,295.0
symbolic,9320,274.0
symbolic,9691,371.0
symbolic,9966,275.0
symbolic,10398,432.0
symbolic,10741,343.0
symbolic,10992,251.0
symbolic,11463,471.0
symbolic,11822,359.0
symbolic,12172,350.0
symbolic,12672,500.0
symbolic,12926,254.0
symbolic,13321,395.0
symbolic,13821,500.0
symbolic,14321,500.0
symbolic,14821,500.0
symbolic,15063,242.0
symbolic,15268,205.0
symbolic,15629,361.0
symbolic,15883,254.0
symbolic,16383,500.0
symbolic,16882,499.0
symbolic,17382,500.0
symbolic,17882,500.0
symbolic,18103,221.0
symbolic,18358,255.0
symbolic,18858,500.0
symbolic,19127,269.0
symbolic,19306,179.0
symbolic,19806,500.0
symbolic,20306,500.0
symbolic,20625,319.0
symbolic,21125,500.0
symbolic,21526,401.0
symbolic,22026,500.0
symbolic,22526,500.0
symbolic,23026,500.0
symbolic,23526,500.0
symbolic,24026,500.0
symbolic,24526,500.0
symbolic,25026,500.0
symbolic,25526,500.0
symbolic,25828,302.0
symbolic,26328,500.0
symbolic,26828,500.0
symbolic,27328,500.0
symbolic,27828,500.0
symbolic,28328,500.0
symbolic,28828,500.0
symbolic,29328,500.0
symbolic,29828,500.0
symbolic,30328,500.0
symbolic,30828,500.0
symbolic,31080,252.0
symbolic,31580,500.0
symbolic,31876,296.0
symbolic,32077,201.0
symbolic,32577,500.0
symbolic,32999,422.0
symbolic,33230,231.0
symbolic,33499,269.0
symbolic,33999,500.0
symbolic,34499,500.0
symbolic,34999,500.0
symbolic,35499,500.0
symbolic,35999,500.0
symbolic,36499,500.0
symbolic,36999,500.0
symbolic,37499,500.0
symbolic,37999,500.0
symbolic,38499,500.0
symbolic,38999,500.0
symbolic,39434,435.0
symbolic,39774,340.0
symbolic,40274,500.0
symbolic,40774,500.0
symbolic,41274,500.0
symbolic,41774,500.0
symbolic,42207,433.0
symbolic,42707,500.0
symbolic,43126,419.0
symbolic,43619,493.0
symbolic,44119,500.0
symbolic,44619,500.0
symbolic,45119,500.0
symbolic,45619,500.0
symbolic,46119,500.0
symbolic,46619,500.0
symbolic,47119,500.0
symbolic,47619,500.0
symbolic,48119,500.0
symbolic,48619,500.0
symbolic,49119,500.0
symbolic,49619,500.0
symbolic,50119,500.0
