Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,500.0,500.0,0.10936132983377078,10938.313999999998,0.0
PPO-Lagrangian,287.3846,287.3846,0.028611304954640614,1433.8339,0.6689771999999999
CPO,177.59091,177.59091,0.011176470588235295,818.3622,0.0
