Algorithm,Final_Avg_Return,Final_Avg_Length,Final_Violation_Rate,Total_Cost,Final_Lambda
PPO,233.47057999999998,233.47057999999998,0.15538194444444445,103592.47,0.0
PPO-Lagrangian,139.17857,139.17857,0.0,3306.2761,0.67627347
CPO,68.43104,68.43104,0.0,1203.1188,0.0
